序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
0,向下,0,向下,向上,1,96.81851170503464,90.21135257685897,2026-01-02 09:00:00+00:00,2026-01-02 13:00:00+00:00
0,向下,1,向下,向上,3,110.1655985483843,90.49466805075645,2026-01-02 22:00:00+00:00,2026-01-03 09:00:00+00:00
0,向下,2,向下,向上,3 | 5,109.30490369644671,90.49466805075645,2026-01-02 22:00:00+00:00,2026-01-03 21:00:00+00:00
0,向下,3,向下,向上,7,97.06547295506631,90.02383139102206,2026-01-04 11:00:00+00:00,2026-01-04 18:00:00+00:00
0,向下,4,向上,向上,9,110.04996753043196,91.48553340269935,2026-01-05 01:00:00+00:00,2026-01-05 12:00:00+00:00
0,向下,5,向下,向上,5,109.30490369644671,103.19397181164493,2026-01-03 18:00:00+00:00,2026-01-03 21:00:00+00:00
0,向下,6,向下,向上,7,97.06547295506631,90.02383139102206,2026-01-04 11:00:00+00:00,2026-01-04 18:00:00+00:00
0,向下,7,向上,向上,9,110.04996753043196,91.48553340269935,2026-01-05 01:00:00+00:00,2026-01-05 12:00:00+00:00
0,向下,8,向下,向上,7,97.06547295506631,90.02383139102206,2026-01-04 11:00:00+00:00,2026-01-04 18:00:00+00:00
0,向下,9,向下,向上,9,110.04996753043196,91.48553340269935,2026-01-05 01:00:00+00:00,2026-01-05 12:00:00+00:00
0,向下,10,向下,向上,9,110.04996753043196,91.48553340269935,2026-01-05 01:00:00+00:00,2026-01-05 12:00:00+00:00
7,向上,0,向上,向下,8,97.06547295506631,91.48553340269935,2026-01-04 18:00:00+00:00,2026-01-05 01:00:00+00:00
7,向上,1,向上,向下,10 | 12,110.04996753043196,92.0764842983984,2026-01-05 12:00:00+00:00,2026-01-07 01:00:00+00:00
