笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
0,↓ 向下,2026-01-01 06:00:00+00:00,顶分型,109.0806836428213,2026-01-02 09:00:00+00:00,底分型,90.21135257685897,20,6,18.87,-0.173,2026-01-01 05:00:00+00:00,2026-01-02 10:00:00+00:00,2026-01-01T05:00:00+00:00 | 2026-01-01T06:00:00+00:00 | 2026-01-01T08:00:00+00:00 | 2026-01-01T09:00:00+00:00 | 2026-01-01T11:00:00+00:00 | 2026-01-01T14:00:00+00:00 | 2026-01-01T15:00:00+00:00 | 2026-01-01T16:00:00+00:00 | 2026-01-01T17:00:00+00:00 | 2026-01-01T22:00:00+00:00 | 2026-01-01T23:00:00+00:00 | 2026-01-02T00:00:00+00:00 | 2026-01-02T01:00:00+00:00 | 2026-01-02T02:00:00+00:00 | 2026-01-02T03:00:00+00:00 | 2026-01-02T04:00:00+00:00 | 2026-01-02T05:00:00+00:00 | 2026-01-02T08:00:00+00:00 | 2026-01-02T09:00:00+00:00 | 2026-01-02T10:00:00+00:00,2026-01-01T06:00:00+00:00:G:109.080683643 | 2026-01-01T11:00:00+00:00:D:103.785064109 | 2026-01-01T14:00:00+00:00:G:107.523091776 | 2026-01-01T15:00:00+00:00:D:103.640858147 | 2026-01-01T17:00:00+00:00:G:109.021893052 | 2026-01-02T09:00:00+00:00:D:90.2113525769
1,↑ 向上,2026-01-02 09:00:00+00:00,底分型,90.21135257685897,2026-01-02 13:00:00+00:00,顶分型,96.81851170503464,7,2,6.61,0.0732,2026-01-02 06:00:00+00:00,2026-01-02 15:00:00+00:00,2026-01-02T08:00:00+00:00 | 2026-01-02T09:00:00+00:00 | 2026-01-02T10:00:00+00:00 | 2026-01-02T11:00:00+00:00 | 2026-01-02T12:00:00+00:00 | 2026-01-02T13:00:00+00:00 | 2026-01-02T15:00:00+00:00,2026-01-02T09:00:00+00:00:D:90.2113525769 | 2026-01-02T13:00:00+00:00:G:96.818511705
2,↓ 向下,2026-01-02 13:00:00+00:00,顶分型,96.81851170503464,2026-01-02 22:00:00+00:00,底分型,90.49466805075645,9,4,6.32,-0.0653,2026-01-02 12:00:00+00:00,2026-01-02 23:00:00+00:00,2026-01-02T12:00:00+00:00 | 2026-01-02T13:00:00+00:00 | 2026-01-02T15:00:00+00:00 | 2026-01-02T16:00:00+00:00 | 2026-01-02T18:00:00+00:00 | 2026-01-02T19:00:00+00:00 | 2026-01-02T21:00:00+00:00 | 2026-01-02T22:00:00+00:00 | 2026-01-02T23:00:00+00:00,2026-01-02T13:00:00+00:00:G:96.818511705 | 2026-01-02T15:00:00+00:00:D:93.6048562138 | 2026-01-02T16:00:00+00:00:G:95.9418712439 | 2026-01-02T22:00:00+00:00:D:90.4946680508
3,↑ 向上,2026-01-02 22:00:00+00:00,底分型,90.49466805075645,2026-01-03 09:00:00+00:00,顶分型,110.1655985483843,11,2,19.67,0.2174,2026-01-02 21:00:00+00:00,2026-01-03 10:00:00+00:00,2026-01-02T21:00:00+00:00 | 2026-01-02T22:00:00+00:00 | 2026-01-02T23:00:00+00:00 | 2026-01-03T00:00:00+00:00 | 2026-01-03T01:00:00+00:00 | 2026-01-03T02:00:00+00:00 | 2026-01-03T03:00:00+00:00 | 2026-01-03T07:00:00+00:00 | 2026-01-03T08:00:00+00:00 | 2026-01-03T09:00:00+00:00 | 2026-01-03T10:00:00+00:00,2026-01-02T22:00:00+00:00:D:90.4946680508 | 2026-01-03T09:00:00+00:00:G:110.165598548
4,↓ 向下,2026-01-03 09:00:00+00:00,顶分型,110.1655985483843,2026-01-03 18:00:00+00:00,底分型,103.19397181164493,10,4,6.97,-0.0633,2026-01-03 08:00:00+00:00,2026-01-03 19:00:00+00:00,2026-01-03T08:00:00+00:00 | 2026-01-03T09:00:00+00:00 | 2026-01-03T11:00:00+00:00 | 2026-01-03T12:00:00+00:00 | 2026-01-03T13:00:00+00:00 | 2026-01-03T14:00:00+00:00 | 2026-01-03T15:00:00+00:00 | 2026-01-03T17:00:00+00:00 | 2026-01-03T18:00:00+00:00 | 2026-01-03T19:00:00+00:00,2026-01-03T09:00:00+00:00:G:110.165598548 | 2026-01-03T15:00:00+00:00:D:103.818221064 | 2026-01-03T17:00:00+00:00:G:107.070107865 | 2026-01-03T18:00:00+00:00:D:103.193971812
5,↑ 向上,2026-01-03 18:00:00+00:00,底分型,103.19397181164493,2026-01-03 21:00:00+00:00,顶分型,109.30490369644671,6,2,6.11,0.0592,2026-01-03 17:00:00+00:00,2026-01-03 22:00:00+00:00,2026-01-03T17:00:00+00:00 | 2026-01-03T18:00:00+00:00 | 2026-01-03T19:00:00+00:00 | 2026-01-03T20:00:00+00:00 | 2026-01-03T21:00:00+00:00 | 2026-01-03T22:00:00+00:00,2026-01-03T18:00:00+00:00:D:103.193971812 | 2026-01-03T21:00:00+00:00:G:109.304903696
6,↓ 向下,2026-01-03 21:00:00+00:00,顶分型,109.30490369644671,2026-01-04 11:00:00+00:00,底分型,90.02383139102206,14,4,19.28,-0.1764,2026-01-03 20:00:00+00:00,2026-01-04 12:00:00+00:00,2026-01-03T20:00:00+00:00 | 2026-01-03T21:00:00+00:00 | 2026-01-03T22:00:00+00:00 | 2026-01-04T00:00:00+00:00 | 2026-01-04T01:00:00+00:00 | 2026-01-04T02:00:00+00:00 | 2026-01-04T03:00:00+00:00 | 2026-01-04T04:00:00+00:00 | 2026-01-04T05:00:00+00:00 | 2026-01-04T06:00:00+00:00 | 2026-01-04T08:00:00+00:00 | 2026-01-04T09:00:00+00:00 | 2026-01-04T11:00:00+00:00 | 2026-01-04T12:00:00+00:00,2026-01-03T21:00:00+00:00:G:109.304903696 | 2026-01-03T22:00:00+00:00:D:105.305196963 | 2026-01-04T00:00:00+00:00:G:109.279413834 | 2026-01-04T11:00:00+00:00:D:90.023831391
7,↑ 向上,2026-01-04 11:00:00+00:00,底分型,90.02383139102206,2026-01-04 18:00:00+00:00,顶分型,97.06547295506631,6,2,7.04,0.0782,2026-01-04 09:00:00+00:00,2026-01-04 19:00:00+00:00,2026-01-04T09:00:00+00:00 | 2026-01-04T11:00:00+00:00 | 2026-01-04T15:00:00+00:00 | 2026-01-04T17:00:00+00:00 | 2026-01-04T18:00:00+00:00 | 2026-01-04T19:00:00+00:00,2026-01-04T11:00:00+00:00:D:90.023831391 | 2026-01-04T18:00:00+00:00:G:97.0654729551
8,↓ 向下,2026-01-04 18:00:00+00:00,顶分型,97.06547295506631,2026-01-05 01:00:00+00:00,底分型,91.48553340269935,6,2,5.58,-0.0575,2026-01-04 17:00:00+00:00,2026-01-05 02:00:00+00:00,2026-01-04T17:00:00+00:00 | 2026-01-04T18:00:00+00:00 | 2026-01-04T19:00:00+00:00 | 2026-01-04T22:00:00+00:00 | 2026-01-05T01:00:00+00:00 | 2026-01-05T02:00:00+00:00,2026-01-04T18:00:00+00:00:G:97.0654729551 | 2026-01-05T01:00:00+00:00:D:91.4855334027
9,↑ 向上,2026-01-05 01:00:00+00:00,底分型,91.48553340269935,2026-01-05 12:00:00+00:00,顶分型,110.04996753043196,13,2,18.56,0.2029,2026-01-04 20:00:00+00:00,2026-01-05 13:00:00+00:00,2026-01-04T22:00:00+00:00 | 2026-01-05T01:00:00+00:00 | 2026-01-05T02:00:00+00:00 | 2026-01-05T04:00:00+00:00 | 2026-01-05T05:00:00+00:00 | 2026-01-05T06:00:00+00:00 | 2026-01-05T07:00:00+00:00 | 2026-01-05T08:00:00+00:00 | 2026-01-05T09:00:00+00:00 | 2026-01-05T10:00:00+00:00 | 2026-01-05T11:00:00+00:00 | 2026-01-05T12:00:00+00:00 | 2026-01-05T13:00:00+00:00,2026-01-05T01:00:00+00:00:D:91.4855334027 | 2026-01-05T12:00:00+00:00:G:110.04996753
