序号,一致,本项目时间,CZSC时间,本项目类型,CZSC类型,本项目价格,CZSC价格,本项目无包含K序号,CZSC无包含K序号,本项目三K时间,CZSC三K时间
0,True,2019-10-14 07:00:00+00:00,2019-10-14 07:00:00+00:00,底分型,底分型,8280.44,8280.44,1,1,2019-10-14T06:00:00+00:00 | 2019-10-14T07:00:00+00:00 | 2019-10-14T09:00:00+00:00,2019-10-14T06:00:00+00:00 | 2019-10-14T07:00:00+00:00 | 2019-10-14T09:00:00+00:00
1,True,2019-10-14 09:00:00+00:00,2019-10-14 09:00:00+00:00,顶分型,顶分型,8325.62,8325.62,2,2,2019-10-14T07:00:00+00:00 | 2019-10-14T09:00:00+00:00 | 2019-10-14T10:00:00+00:00,2019-10-14T07:00:00+00:00 | 2019-10-14T09:00:00+00:00 | 2019-10-14T10:00:00+00:00
2,True,2019-10-14 12:00:00+00:00,2019-10-14 12:00:00+00:00,底分型,底分型,8242.22,8242.22,5,5,2019-10-14T11:00:00+00:00 | 2019-10-14T12:00:00+00:00 | 2019-10-14T13:00:00+00:00,2019-10-14T11:00:00+00:00 | 2019-10-14T12:00:00+00:00 | 2019-10-14T13:00:00+00:00
3,True,2019-10-14 14:00:00+00:00,2019-10-14 14:00:00+00:00,顶分型,顶分型,8291.47,8291.47,7,7,2019-10-14T13:00:00+00:00 | 2019-10-14T14:00:00+00:00 | 2019-10-14T16:00:00+00:00,2019-10-14T13:00:00+00:00 | 2019-10-14T14:00:00+00:00 | 2019-10-14T16:00:00+00:00
4,True,2019-10-14 16:00:00+00:00,2019-10-14 16:00:00+00:00,底分型,底分型,8203.0,8203.0,8,8,2019-10-14T14:00:00+00:00 | 2019-10-14T16:00:00+00:00 | 2019-10-14T17:00:00+00:00,2019-10-14T14:00:00+00:00 | 2019-10-14T16:00:00+00:00 | 2019-10-14T17:00:00+00:00
5,True,2019-10-14 19:00:00+00:00,2019-10-14 19:00:00+00:00,顶分型,顶分型,8377.0,8377.0,10,10,2019-10-14T17:00:00+00:00 | 2019-10-14T19:00:00+00:00 | 2019-10-14T21:00:00+00:00,2019-10-14T17:00:00+00:00 | 2019-10-14T19:00:00+00:00 | 2019-10-14T21:00:00+00:00
6,True,2019-10-14 21:00:00+00:00,2019-10-14 21:00:00+00:00,底分型,底分型,8251.89,8251.89,11,11,2019-10-14T19:00:00+00:00 | 2019-10-14T21:00:00+00:00 | 2019-10-14T22:00:00+00:00,2019-10-14T19:00:00+00:00 | 2019-10-14T21:00:00+00:00 | 2019-10-14T22:00:00+00:00
7,True,2019-10-15 00:00:00+00:00,2019-10-15 00:00:00+00:00,顶分型,顶分型,8403.0,8403.0,13,13,2019-10-14T22:00:00+00:00 | 2019-10-15T00:00:00+00:00 | 2019-10-15T01:00:00+00:00,2019-10-14T22:00:00+00:00 | 2019-10-15T00:00:00+00:00 | 2019-10-15T01:00:00+00:00
8,True,2019-10-15 04:00:00+00:00,2019-10-15 04:00:00+00:00,底分型,底分型,8302.25,8302.25,17,17,2019-10-15T03:00:00+00:00 | 2019-10-15T04:00:00+00:00 | 2019-10-15T06:00:00+00:00,2019-10-15T03:00:00+00:00 | 2019-10-15T04:00:00+00:00 | 2019-10-15T06:00:00+00:00
9,True,2019-10-15 06:00:00+00:00,2019-10-15 06:00:00+00:00,顶分型,顶分型,8340.84,8340.84,18,18,2019-10-15T04:00:00+00:00 | 2019-10-15T06:00:00+00:00 | 2019-10-15T07:00:00+00:00,2019-10-15T04:00:00+00:00 | 2019-10-15T06:00:00+00:00 | 2019-10-15T07:00:00+00:00
