序号,一致,本项目时间,CZSC时间,本项目OHLC,CZSC OHLC,本项目原始K数,CZSC原始K数,本项目原始范围,CZSC原始范围
0,True,2019-10-14 06:00:00+00:00,2019-10-14 06:00:00+00:00,8311.31/8333.42/8297.19/8319.35,8311.31/8333.42/8297.19/8319.35,1,1,2019-10-14T06:00:00+00:00 ~ 2019-10-14T06:00:00+00:00,2019-10-14T06:00:00+00:00 ~ 2019-10-14T06:00:00+00:00
1,True,2019-10-14 07:00:00+00:00,2019-10-14 07:00:00+00:00,8319.35/8320/8280.44/8305.76,8319.35/8320/8280.44/8305.76,1,1,2019-10-14T07:00:00+00:00 ~ 2019-10-14T07:00:00+00:00,2019-10-14T07:00:00+00:00 ~ 2019-10-14T07:00:00+00:00
2,True,2019-10-14 09:00:00+00:00,2019-10-14 09:00:00+00:00,8325.62/8325.62/8294.08/8294.08,8325.62/8325.62/8294.08/8294.08,2,2,2019-10-14T08:00:00+00:00 ~ 2019-10-14T09:00:00+00:00,2019-10-14T08:00:00+00:00 ~ 2019-10-14T09:00:00+00:00
3,True,2019-10-14 10:00:00+00:00,2019-10-14 10:00:00+00:00,8299.98/8316.01/8289.79/8307.06,8299.98/8316.01/8289.79/8307.06,1,1,2019-10-14T10:00:00+00:00 ~ 2019-10-14T10:00:00+00:00,2019-10-14T10:00:00+00:00 ~ 2019-10-14T10:00:00+00:00
4,True,2019-10-14 11:00:00+00:00,2019-10-14 11:00:00+00:00,8307.03/8307.4/8277/8280.32,8307.03/8307.4/8277/8280.32,1,1,2019-10-14T11:00:00+00:00 ~ 2019-10-14T11:00:00+00:00,2019-10-14T11:00:00+00:00 ~ 2019-10-14T11:00:00+00:00
5,True,2019-10-14 12:00:00+00:00,2019-10-14 12:00:00+00:00,8280.08/8284.02/8242.22/8256,8280.08/8284.02/8242.22/8256,1,1,2019-10-14T12:00:00+00:00 ~ 2019-10-14T12:00:00+00:00,2019-10-14T12:00:00+00:00 ~ 2019-10-14T12:00:00+00:00
6,True,2019-10-14 13:00:00+00:00,2019-10-14 13:00:00+00:00,8256.03/8290/8250/8286.73,8256.03/8290/8250/8286.73,1,1,2019-10-14T13:00:00+00:00 ~ 2019-10-14T13:00:00+00:00,2019-10-14T13:00:00+00:00 ~ 2019-10-14T13:00:00+00:00
7,True,2019-10-14 14:00:00+00:00,2019-10-14 14:00:00+00:00,8286.73/8291.47/8260.16/8262.09,8286.73/8291.47/8260.16/8262.09,1,1,2019-10-14T14:00:00+00:00 ~ 2019-10-14T14:00:00+00:00,2019-10-14T14:00:00+00:00 ~ 2019-10-14T14:00:00+00:00
8,True,2019-10-14 16:00:00+00:00,2019-10-14 16:00:00+00:00,8203/8276.33/8203/8276.33,8203/8276.33/8203/8276.33,2,2,2019-10-14T15:00:00+00:00 ~ 2019-10-14T16:00:00+00:00,2019-10-14T15:00:00+00:00 ~ 2019-10-14T16:00:00+00:00
9,True,2019-10-14 17:00:00+00:00,2019-10-14 17:00:00+00:00,8331.11/8355/8320.01/8326.97,8331.11/8355/8320.01/8326.97,1,1,2019-10-14T17:00:00+00:00 ~ 2019-10-14T17:00:00+00:00,2019-10-14T17:00:00+00:00 ~ 2019-10-14T17:00:00+00:00
10,True,2019-10-14 19:00:00+00:00,2019-10-14 19:00:00+00:00,8377/8377/8325/8325,8377/8377/8325/8325,2,2,2019-10-14T18:00:00+00:00 ~ 2019-10-14T19:00:00+00:00,2019-10-14T18:00:00+00:00 ~ 2019-10-14T19:00:00+00:00
11,True,2019-10-14 21:00:00+00:00,2019-10-14 21:00:00+00:00,8344.5/8344.5/8251.89/8251.89,8344.5/8344.5/8251.89/8251.89,2,2,2019-10-14T20:00:00+00:00 ~ 2019-10-14T21:00:00+00:00,2019-10-14T20:00:00+00:00 ~ 2019-10-14T21:00:00+00:00
12,True,2019-10-14 22:00:00+00:00,2019-10-14 22:00:00+00:00,8328.63/8349.95/8328.63/8349.95,8328.63/8349.95/8328.63/8349.95,2,2,2019-10-14T22:00:00+00:00 ~ 2019-10-14T23:00:00+00:00,2019-10-14T22:00:00+00:00 ~ 2019-10-14T23:00:00+00:00
13,True,2019-10-15 00:00:00+00:00,2019-10-15 00:00:00+00:00,8346.86/8403/8346.8/8356.4,8346.86/8403/8346.8/8356.4,1,1,2019-10-15T00:00:00+00:00 ~ 2019-10-15T00:00:00+00:00,2019-10-15T00:00:00+00:00 ~ 2019-10-15T00:00:00+00:00
14,True,2019-10-15 01:00:00+00:00,2019-10-15 01:00:00+00:00,8353.93/8364.77/8323.87/8328.29,8353.93/8364.77/8323.87/8328.29,1,1,2019-10-15T01:00:00+00:00 ~ 2019-10-15T01:00:00+00:00,2019-10-15T01:00:00+00:00 ~ 2019-10-15T01:00:00+00:00
