序号,一致,本项目时间,CZSC时间,本项目OHLC,CZSC OHLC,本项目原始范围,CZSC原始范围
0,True,2019-10-31 09:00:00+00:00,2019-10-31 09:00:00+00:00,9113.39/9114.98/9022.38/9037.92,9113.39/9114.98/9022.38/9037.92,2019-10-31T09:00:00+00:00 ~ 2019-10-31T09:00:00+00:00,2019-10-31T09:00:00+00:00 ~ 2019-10-31T09:00:00+00:00
1,True,2019-10-31 10:00:00+00:00,2019-10-31 10:00:00+00:00,9037.92/9081.07/8913/9072.68,9037.92/9081.07/8913/9072.68,2019-10-31T10:00:00+00:00 ~ 2019-10-31T10:00:00+00:00,2019-10-31T10:00:00+00:00 ~ 2019-10-31T10:00:00+00:00
2,True,2019-10-31 11:00:00+00:00,2019-10-31 11:00:00+00:00,9072.68/9149.42/9048.82/9109.53,9072.68/9149.42/9048.82/9109.53,2019-10-31T11:00:00+00:00 ~ 2019-10-31T11:00:00+00:00,2019-10-31T11:00:00+00:00 ~ 2019-10-31T11:00:00+00:00
3,True,2019-10-31 12:00:00+00:00,2019-10-31 12:00:00+00:00,9405/9405/9258.88/9258.88,9405/9405/9258.88/9258.88,2019-10-31T12:00:00+00:00 ~ 2019-10-31T13:00:00+00:00,2019-10-31T12:00:00+00:00 ~ 2019-10-31T13:00:00+00:00
4,True,2019-10-31 14:00:00+00:00,2019-10-31 14:00:00+00:00,9290.5/9291.44/9222.33/9238.65,9290.5/9291.44/9222.33/9238.65,2019-10-31T14:00:00+00:00 ~ 2019-10-31T14:00:00+00:00,2019-10-31T14:00:00+00:00 ~ 2019-10-31T14:00:00+00:00
5,True,2019-10-31 15:00:00+00:00,2019-10-31 15:00:00+00:00,9180/9257.99/9180/9257.99,9180/9257.99/9180/9257.99,2019-10-31T15:00:00+00:00 ~ 2019-10-31T16:00:00+00:00,2019-10-31T15:00:00+00:00 ~ 2019-10-31T16:00:00+00:00
6,True,2019-10-31 17:00:00+00:00,2019-10-31 17:00:00+00:00,9239.48/9264.04/9227.03/9243.41,9239.48/9264.04/9227.03/9243.41,2019-10-31T17:00:00+00:00 ~ 2019-10-31T17:00:00+00:00,2019-10-31T17:00:00+00:00 ~ 2019-10-31T17:00:00+00:00
7,True,2019-10-31 18:00:00+00:00,2019-10-31 18:00:00+00:00,9250/9250/9193.1/9193.1,9250/9250/9193.1/9193.1,2019-10-31T18:00:00+00:00 ~ 2019-10-31T19:00:00+00:00,2019-10-31T18:00:00+00:00 ~ 2019-10-31T19:00:00+00:00
8,True,2019-10-31 20:00:00+00:00,2019-10-31 20:00:00+00:00,9211.02/9243.47/9123.33/9185.98,9211.02/9243.47/9123.33/9185.98,2019-10-31T20:00:00+00:00 ~ 2019-10-31T20:00:00+00:00,2019-10-31T20:00:00+00:00 ~ 2019-10-31T20:00:00+00:00
9,True,2019-10-31 21:00:00+00:00,2019-10-31 21:00:00+00:00,9013/9100/9013/9100,9013/9100/9013/9100,2019-10-31T21:00:00+00:00 ~ 2019-11-01T04:00:00+00:00,2019-10-31T21:00:00+00:00 ~ 2019-11-01T04:00:00+00:00
10,True,2019-11-01 06:00:00+00:00,2019-11-01 06:00:00+00:00,9137/9137/9080.12/9080.12,9137/9137/9080.12/9080.12,2019-11-01T05:00:00+00:00 ~ 2019-11-01T07:00:00+00:00,2019-11-01T05:00:00+00:00 ~ 2019-11-01T07:00:00+00:00
11,True,2019-11-01 08:00:00+00:00,2019-11-01 08:00:00+00:00,9099.43/9174.99/9094.2/9134.63,9099.43/9174.99/9094.2/9134.63,2019-11-01T08:00:00+00:00 ~ 2019-11-01T08:00:00+00:00,2019-11-01T08:00:00+00:00 ~ 2019-11-01T08:00:00+00:00
12,True,2019-11-01 09:00:00+00:00,2019-11-01 09:00:00+00:00,9134.63/9136/9088.88/9103.12,9134.63/9136/9088.88/9103.12,2019-11-01T09:00:00+00:00 ~ 2019-11-01T09:00:00+00:00,2019-11-01T09:00:00+00:00 ~ 2019-11-01T09:00:00+00:00
13,True,2019-11-01 10:00:00+00:00,2019-11-01 10:00:00+00:00,9103.42/9181.32/9095.13/9155.93,9103.42/9181.32/9095.13/9155.93,2019-11-01T10:00:00+00:00 ~ 2019-11-01T10:00:00+00:00,2019-11-01T10:00:00+00:00 ~ 2019-11-01T10:00:00+00:00
14,True,2019-11-01 11:00:00+00:00,2019-11-01 11:00:00+00:00,9155.93/9279/9132.41/9163.16,9155.93/9279/9132.41/9163.16,2019-11-01T11:00:00+00:00 ~ 2019-11-01T11:00:00+00:00,2019-11-01T11:00:00+00:00 ~ 2019-11-01T11:00:00+00:00
15,True,2019-11-01 13:00:00+00:00,2019-11-01 13:00:00+00:00,9061.65/9136.3/9061.65/9136.3,9061.65/9136.3/9061.65/9136.3,2019-11-01T12:00:00+00:00 ~ 2019-11-01T14:00:00+00:00,2019-11-01T12:00:00+00:00 ~ 2019-11-01T14:00:00+00:00
16,True,2019-11-01 15:00:00+00:00,2019-11-01 15:00:00+00:00,9123.74/9248.51/9076/9082.43,9123.74/9248.51/9076/9082.43,2019-11-01T15:00:00+00:00 ~ 2019-11-01T15:00:00+00:00,2019-11-01T15:00:00+00:00 ~ 2019-11-01T15:00:00+00:00
17,True,2019-11-01 16:00:00+00:00,2019-11-01 16:00:00+00:00,9082.43/9200/9060/9152.9,9082.43/9200/9060/9152.9,2019-11-01T16:00:00+00:00 ~ 2019-11-01T16:00:00+00:00,2019-11-01T16:00:00+00:00 ~ 2019-11-01T16:00:00+00:00
18,True,2019-11-01 17:00:00+00:00,2019-11-01 17:00:00+00:00,9150.75/9202/9138.94/9159.94,9150.75/9202/9138.94/9159.94,2019-11-01T17:00:00+00:00 ~ 2019-11-01T17:00:00+00:00,2019-11-01T17:00:00+00:00 ~ 2019-11-01T17:00:00+00:00
19,True,2019-11-01 18:00:00+00:00,2019-11-01 18:00:00+00:00,9160.16/9205.2/9148.84/9181.11,9160.16/9205.2/9148.84/9181.11,2019-11-01T18:00:00+00:00 ~ 2019-11-01T18:00:00+00:00,2019-11-01T18:00:00+00:00 ~ 2019-11-01T18:00:00+00:00
20,True,2019-11-01 19:00:00+00:00,2019-11-01 19:00:00+00:00,9167.15/9213.57/9167.15/9213.57,9167.15/9213.57/9167.15/9213.57,2019-11-01T19:00:00+00:00 ~ 2019-11-01T20:00:00+00:00,2019-11-01T19:00:00+00:00 ~ 2019-11-01T20:00:00+00:00
21,True,2019-11-01 21:00:00+00:00,2019-11-01 21:00:00+00:00,9190.15/9275/9180/9259.21,9190.15/9275/9180/9259.21,2019-11-01T21:00:00+00:00 ~ 2019-11-01T21:00:00+00:00,2019-11-01T21:00:00+00:00 ~ 2019-11-01T21:00:00+00:00
22,True,2019-11-01 22:00:00+00:00,2019-11-01 22:00:00+00:00,9277.16/9277.16/9224.03/9224.03,9277.16/9277.16/9224.03/9224.03,2019-11-01T22:00:00+00:00 ~ 2019-11-02T01:00:00+00:00,2019-11-01T22:00:00+00:00 ~ 2019-11-02T01:00:00+00:00
23,True,2019-11-02 02:00:00+00:00,2019-11-02 02:00:00+00:00,9238.37/9249.98/9209.99/9249.88,9238.37/9249.98/9209.99/9249.88,2019-11-02T02:00:00+00:00 ~ 2019-11-02T02:00:00+00:00,2019-11-02T02:00:00+00:00 ~ 2019-11-02T02:00:00+00:00
24,True,2019-11-02 03:00:00+00:00,2019-11-02 03:00:00+00:00,9248.98/9251.01/9225.07/9236.67,9248.98/9251.01/9225.07/9236.67,2019-11-02T03:00:00+00:00 ~ 2019-11-02T03:00:00+00:00,2019-11-02T03:00:00+00:00 ~ 2019-11-02T03:00:00+00:00
25,True,2019-11-02 04:00:00+00:00,2019-11-02 04:00:00+00:00,9236.27/9242.95/9196/9200,9236.27/9242.95/9196/9200,2019-11-02T04:00:00+00:00 ~ 2019-11-02T04:00:00+00:00,2019-11-02T04:00:00+00:00 ~ 2019-11-02T04:00:00+00:00
26,True,2019-11-02 05:00:00+00:00,2019-11-02 05:00:00+00:00,9200.81/9227.99/9191.02/9216.7,9200.81/9227.99/9191.02/9216.7,2019-11-02T05:00:00+00:00 ~ 2019-11-02T05:00:00+00:00,2019-11-02T05:00:00+00:00 ~ 2019-11-02T05:00:00+00:00
27,True,2019-11-02 06:00:00+00:00,2019-11-02 06:00:00+00:00,9186.21/9220/9186.21/9220,9186.21/9220/9186.21/9220,2019-11-02T06:00:00+00:00 ~ 2019-11-02T07:00:00+00:00,2019-11-02T06:00:00+00:00 ~ 2019-11-02T07:00:00+00:00
28,True,2019-11-02 08:00:00+00:00,2019-11-02 08:00:00+00:00,9201.55/9240.59/9201.55/9240.59,9201.55/9240.59/9201.55/9240.59,2019-11-02T08:00:00+00:00 ~ 2019-11-02T10:00:00+00:00,2019-11-02T08:00:00+00:00 ~ 2019-11-02T10:00:00+00:00
29,True,2019-11-02 12:00:00+00:00,2019-11-02 12:00:00+00:00,9214.84/9350/9214.84/9350,9214.84/9350/9214.84/9350,2019-11-02T11:00:00+00:00 ~ 2019-11-02T12:00:00+00:00,2019-11-02T11:00:00+00:00 ~ 2019-11-02T12:00:00+00:00
30,True,2019-11-02 13:00:00+00:00,2019-11-02 13:00:00+00:00,9373.74/9373.74/9308.88/9308.88,9373.74/9373.74/9308.88/9308.88,2019-11-02T13:00:00+00:00 ~ 2019-11-02T14:00:00+00:00,2019-11-02T13:00:00+00:00 ~ 2019-11-02T14:00:00+00:00
31,True,2019-11-02 15:00:00+00:00,2019-11-02 15:00:00+00:00,9309.42/9324.39/9273.15/9324.36,9309.42/9324.39/9273.15/9324.36,2019-11-02T15:00:00+00:00 ~ 2019-11-02T15:00:00+00:00,2019-11-02T15:00:00+00:00 ~ 2019-11-02T15:00:00+00:00
32,True,2019-11-02 16:00:00+00:00,2019-11-02 16:00:00+00:00,9323.01/9338.81/9294.77/9311.11,9323.01/9338.81/9294.77/9311.11,2019-11-02T16:00:00+00:00 ~ 2019-11-02T16:00:00+00:00,2019-11-02T16:00:00+00:00 ~ 2019-11-02T16:00:00+00:00
33,True,2019-11-02 17:00:00+00:00,2019-11-02 17:00:00+00:00,9311.07/9330/9281/9288.39,9311.07/9330/9281/9288.39,2019-11-02T17:00:00+00:00 ~ 2019-11-02T17:00:00+00:00,2019-11-02T17:00:00+00:00 ~ 2019-11-02T17:00:00+00:00
34,True,2019-11-02 18:00:00+00:00,2019-11-02 18:00:00+00:00,9288.38/9304/9264.59/9285,9288.38/9304/9264.59/9285,2019-11-02T18:00:00+00:00 ~ 2019-11-02T18:00:00+00:00,2019-11-02T18:00:00+00:00 ~ 2019-11-02T18:00:00+00:00
35,True,2019-11-02 19:00:00+00:00,2019-11-02 19:00:00+00:00,9320/9320/9281.43/9281.43,9320/9320/9281.43/9281.43,2019-11-02T19:00:00+00:00 ~ 2019-11-02T20:00:00+00:00,2019-11-02T19:00:00+00:00 ~ 2019-11-02T20:00:00+00:00
36,True,2019-11-02 21:00:00+00:00,2019-11-02 21:00:00+00:00,9303.37/9303.52/9271.02/9271.97,9303.37/9303.52/9271.02/9271.97,2019-11-02T21:00:00+00:00 ~ 2019-11-02T21:00:00+00:00,2019-11-02T21:00:00+00:00 ~ 2019-11-02T21:00:00+00:00
37,True,2019-11-02 22:00:00+00:00,2019-11-02 22:00:00+00:00,9270.52/9298.24/9270.52/9298.24,9270.52/9298.24/9270.52/9298.24,2019-11-02T22:00:00+00:00 ~ 2019-11-02T23:00:00+00:00,2019-11-02T22:00:00+00:00 ~ 2019-11-02T23:00:00+00:00
38,True,2019-11-03 00:00:00+00:00,2019-11-03 00:00:00+00:00,9299.09/9340.35/9299.09/9340.35,9299.09/9340.35/9299.09/9340.35,2019-11-03T00:00:00+00:00 ~ 2019-11-03T01:00:00+00:00,2019-11-03T00:00:00+00:00 ~ 2019-11-03T01:00:00+00:00
39,True,2019-11-03 02:00:00+00:00,2019-11-03 02:00:00+00:00,9362.57/9362.57/9314.19/9314.19,9362.57/9362.57/9314.19/9314.19,2019-11-03T02:00:00+00:00 ~ 2019-11-03T03:00:00+00:00,2019-11-03T02:00:00+00:00 ~ 2019-11-03T03:00:00+00:00
40,True,2019-11-03 04:00:00+00:00,2019-11-03 04:00:00+00:00,9329.75/9330.4/9241/9260.24,9329.75/9330.4/9241/9260.24,2019-11-03T04:00:00+00:00 ~ 2019-11-03T04:00:00+00:00,2019-11-03T04:00:00+00:00 ~ 2019-11-03T04:00:00+00:00
41,True,2019-11-03 05:00:00+00:00,2019-11-03 05:00:00+00:00,9260.25/9271.15/9225.01/9263.05,9260.25/9271.15/9225.01/9263.05,2019-11-03T05:00:00+00:00 ~ 2019-11-03T05:00:00+00:00,2019-11-03T05:00:00+00:00 ~ 2019-11-03T05:00:00+00:00
42,True,2019-11-03 06:00:00+00:00,2019-11-03 06:00:00+00:00,9262.9/9284.59/9251.57/9262.32,9262.9/9284.59/9251.57/9262.32,2019-11-03T06:00:00+00:00 ~ 2019-11-03T06:00:00+00:00,2019-11-03T06:00:00+00:00 ~ 2019-11-03T06:00:00+00:00
43,True,2019-11-03 07:00:00+00:00,2019-11-03 07:00:00+00:00,9258.8/9272/9236.57/9239.61,9258.8/9272/9236.57/9239.61,2019-11-03T07:00:00+00:00 ~ 2019-11-03T07:00:00+00:00,2019-11-03T07:00:00+00:00 ~ 2019-11-03T07:00:00+00:00
44,True,2019-11-03 08:00:00+00:00,2019-11-03 08:00:00+00:00,9237.89/9237.89/9182/9182,9237.89/9237.89/9182/9182,2019-11-03T08:00:00+00:00 ~ 2019-11-03T09:00:00+00:00,2019-11-03T08:00:00+00:00 ~ 2019-11-03T09:00:00+00:00
45,True,2019-11-03 10:00:00+00:00,2019-11-03 10:00:00+00:00,9109/9173.15/9109/9173.15,9109/9173.15/9109/9173.15,2019-11-03T10:00:00+00:00 ~ 2019-11-03T11:00:00+00:00,2019-11-03T10:00:00+00:00 ~ 2019-11-03T11:00:00+00:00
46,True,2019-11-03 12:00:00+00:00,2019-11-03 12:00:00+00:00,9155.26/9165/9101/9150.08,9155.26/9165/9101/9150.08,2019-11-03T12:00:00+00:00 ~ 2019-11-03T12:00:00+00:00,2019-11-03T12:00:00+00:00 ~ 2019-11-03T12:00:00+00:00
47,True,2019-11-03 13:00:00+00:00,2019-11-03 13:00:00+00:00,9150.08/9179.32/9132.04/9163.76,9150.08/9179.32/9132.04/9163.76,2019-11-03T13:00:00+00:00 ~ 2019-11-03T13:00:00+00:00,2019-11-03T13:00:00+00:00 ~ 2019-11-03T13:00:00+00:00
48,True,2019-11-03 14:00:00+00:00,2019-11-03 14:00:00+00:00,9163.76/9186.63/9135.04/9145.79,9163.76/9186.63/9135.04/9145.79,2019-11-03T14:00:00+00:00 ~ 2019-11-03T14:00:00+00:00,2019-11-03T14:00:00+00:00 ~ 2019-11-03T14:00:00+00:00
49,True,2019-11-03 15:00:00+00:00,2019-11-03 15:00:00+00:00,9180/9180/9130/9130,9180/9180/9130/9130,2019-11-03T15:00:00+00:00 ~ 2019-11-03T16:00:00+00:00,2019-11-03T15:00:00+00:00 ~ 2019-11-03T16:00:00+00:00
50,True,2019-11-03 17:00:00+00:00,2019-11-03 17:00:00+00:00,9112.95/9163.08/9112.95/9163.08,9112.95/9163.08/9112.95/9163.08,2019-11-03T17:00:00+00:00 ~ 2019-11-03T18:00:00+00:00,2019-11-03T17:00:00+00:00 ~ 2019-11-03T18:00:00+00:00
51,True,2019-11-03 19:00:00+00:00,2019-11-03 19:00:00+00:00,9133.56/9174.06/9133.56/9174.06,9133.56/9174.06/9133.56/9174.06,2019-11-03T19:00:00+00:00 ~ 2019-11-03T20:00:00+00:00,2019-11-03T19:00:00+00:00 ~ 2019-11-03T20:00:00+00:00
