序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
1,向下,0,向下,向上,2,8023.0,7917.0,2019-10-16 16:00:00+00:00,2019-10-16 23:00:00+00:00
1,向下,1,向下,向上,4,8124.92,7929.03,2019-10-17 04:00:00+00:00,2019-10-17 16:00:00+00:00
1,向下,2,向下,向上,4,8124.92,7929.03,2019-10-17 04:00:00+00:00,2019-10-17 16:00:00+00:00
1,向下,3,向下,向上,6,7983.32,7816.01,2019-10-18 08:00:00+00:00,2019-10-18 18:00:00+00:00
1,向下,4,向上,向上,8,8098.1,7892.0,2019-10-19 02:00:00+00:00,2019-10-19 12:00:00+00:00
6,向上,0,向上,向下,7,7983.32,7892.0,2019-10-18 18:00:00+00:00,2019-10-19 02:00:00+00:00
6,向上,1,向上,向下,9,8098.1,7870.0,2019-10-19 12:00:00+00:00,2019-10-20 02:00:00+00:00
6,向上,2,向上,向下,11,8333.0,7920.0,2019-10-21 15:00:00+00:00,2019-10-23 05:00:00+00:00
6,向上,3,向上,向下,9,8098.1,7870.0,2019-10-19 12:00:00+00:00,2019-10-20 02:00:00+00:00
6,向上,4,向上,向下,11,8333.0,7920.0,2019-10-21 15:00:00+00:00,2019-10-23 05:00:00+00:00
6,向上,5,向下,向下,13,8011.96,7300.0,2019-10-23 10:00:00+00:00,2019-10-23 16:00:00+00:00
11,向下,0,向下,向上,12,8011.96,7920.0,2019-10-23 05:00:00+00:00,2019-10-23 10:00:00+00:00
11,向下,1,向下,向上,14 | 16,9369.8,7300.0,2019-10-23 16:00:00+00:00,2019-10-27 00:00:00+00:00
11,向下,2,向上,向上,18,9902.1,9074.34,2019-10-27 04:00:00+00:00,2019-10-28 01:00:00+00:00
14,向上,0,向上,向下,15 | 17 | 19,10370.0,9160.0,2019-10-26 01:00:00+00:00,2019-10-28 23:00:00+00:00
14,向上,1,向上,向下,21,9550.0,9001.01,2019-10-29 05:00:00+00:00,2019-10-30 15:00:00+00:00
14,向上,2,向上,向下,17,9369.8,9074.34,2019-10-27 00:00:00+00:00,2019-10-27 04:00:00+00:00
14,向上,3,向上,向下,19,9902.1,9160.0,2019-10-28 01:00:00+00:00,2019-10-28 23:00:00+00:00
14,向上,4,向下,向下,21,9550.0,9001.01,2019-10-29 05:00:00+00:00,2019-10-30 15:00:00+00:00
19,向下,0,向下,向上,20,9550.0,9160.0,2019-10-28 23:00:00+00:00,2019-10-29 05:00:00+00:00
19,向下,1,向下,向上,22 | 24,9209.0,9001.01,2019-10-30 15:00:00+00:00,2019-10-31 06:00:00+00:00
