笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
0,↑ 向上,2019-10-14 16:00:00+00:00,底分型,8203.0,2019-10-15 00:00:00+00:00,顶分型,8403.0,8,4,200.0,0.0244,2019-10-14 14:00:00+00:00,2019-10-15 01:00:00+00:00,2019-10-14T14:00:00+00:00 | 2019-10-14T16:00:00+00:00 | 2019-10-14T17:00:00+00:00 | 2019-10-14T19:00:00+00:00 | 2019-10-14T21:00:00+00:00 | 2019-10-14T22:00:00+00:00 | 2019-10-15T00:00:00+00:00 | 2019-10-15T01:00:00+00:00,2019-10-14T16:00:00+00:00:D:8203 | 2019-10-14T19:00:00+00:00:G:8377 | 2019-10-14T21:00:00+00:00:D:8251.89 | 2019-10-15T00:00:00+00:00:G:8403
1,↓ 向下,2019-10-15 00:00:00+00:00,顶分型,8403.0,2019-10-16 16:00:00+00:00,底分型,7917.0,22,12,486.0,-0.0578,2019-10-14 22:00:00+00:00,2019-10-16 20:00:00+00:00,2019-10-14T22:00:00+00:00 | 2019-10-15T00:00:00+00:00 | 2019-10-15T01:00:00+00:00 | 2019-10-15T02:00:00+00:00 | 2019-10-15T03:00:00+00:00 | 2019-10-15T04:00:00+00:00 | 2019-10-15T06:00:00+00:00 | 2019-10-15T07:00:00+00:00 | 2019-10-15T08:00:00+00:00 | 2019-10-15T10:00:00+00:00 | 2019-10-15T12:00:00+00:00 | 2019-10-15T16:00:00+00:00 | 2019-10-15T23:00:00+00:00 | 2019-10-16T02:00:00+00:00 | 2019-10-16T03:00:00+00:00 | 2019-10-16T06:00:00+00:00 | 2019-10-16T07:00:00+00:00 | 2019-10-16T09:00:00+00:00 | 2019-10-16T10:00:00+00:00 | 2019-10-16T11:00:00+00:00 | 2019-10-16T16:00:00+00:00 | 2019-10-16T20:00:00+00:00,2019-10-15T00:00:00+00:00:G:8403 | 2019-10-15T04:00:00+00:00:D:8302.25 | 2019-10-15T06:00:00+00:00:G:8340.84 | 2019-10-15T08:00:00+00:00:D:8258.4 | 2019-10-15T12:00:00+00:00:G:8323.23 | 2019-10-15T16:00:00+00:00:D:8090 | 2019-10-15T23:00:00+00:00:G:8182.77 | 2019-10-16T03:00:00+00:00:D:8145.5 | 2019-10-16T06:00:00+00:00:G:8177.27 | 2019-10-16T09:00:00+00:00:D:8100 | 2019-10-16T10:00:00+00:00:G:8162 | 2019-10-16T16:00:00+00:00:D:7917
2,↑ 向上,2019-10-16 16:00:00+00:00,底分型,7917.0,2019-10-16 23:00:00+00:00,顶分型,8023.0,7,2,106.0,0.0134,2019-10-16 11:00:00+00:00,2019-10-17 00:00:00+00:00,2019-10-16T11:00:00+00:00 | 2019-10-16T16:00:00+00:00 | 2019-10-16T20:00:00+00:00 | 2019-10-16T21:00:00+00:00 | 2019-10-16T22:00:00+00:00 | 2019-10-16T23:00:00+00:00 | 2019-10-17T00:00:00+00:00,2019-10-16T16:00:00+00:00:D:7917 | 2019-10-16T23:00:00+00:00:G:8023
3,↓ 向下,2019-10-16 23:00:00+00:00,顶分型,8023.0,2019-10-17 04:00:00+00:00,底分型,7929.03,6,4,93.97,-0.0117,2019-10-16 22:00:00+00:00,2019-10-17 05:00:00+00:00,2019-10-16T22:00:00+00:00 | 2019-10-16T23:00:00+00:00 | 2019-10-17T00:00:00+00:00 | 2019-10-17T02:00:00+00:00 | 2019-10-17T04:00:00+00:00 | 2019-10-17T05:00:00+00:00,2019-10-16T23:00:00+00:00:G:8023 | 2019-10-17T00:00:00+00:00:D:7952.63 | 2019-10-17T02:00:00+00:00:G:7989.86 | 2019-10-17T04:00:00+00:00:D:7929.03
4,↑ 向上,2019-10-17 04:00:00+00:00,底分型,7929.03,2019-10-17 16:00:00+00:00,顶分型,8124.92,13,6,195.89,0.0247,2019-10-17 02:00:00+00:00,2019-10-17 19:00:00+00:00,2019-10-17T02:00:00+00:00 | 2019-10-17T04:00:00+00:00 | 2019-10-17T05:00:00+00:00 | 2019-10-17T06:00:00+00:00 | 2019-10-17T08:00:00+00:00 | 2019-10-17T10:00:00+00:00 | 2019-10-17T11:00:00+00:00 | 2019-10-17T12:00:00+00:00 | 2019-10-17T13:00:00+00:00 | 2019-10-17T14:00:00+00:00 | 2019-10-17T15:00:00+00:00 | 2019-10-17T16:00:00+00:00 | 2019-10-17T19:00:00+00:00,2019-10-17T04:00:00+00:00:D:7929.03 | 2019-10-17T11:00:00+00:00:G:8118.86 | 2019-10-17T12:00:00+00:00:D:8016.01 | 2019-10-17T13:00:00+00:00:G:8078.93 | 2019-10-17T14:00:00+00:00:D:8030.49 | 2019-10-17T16:00:00+00:00:G:8124.92
5,↓ 向下,2019-10-17 16:00:00+00:00,顶分型,8124.92,2019-10-18 08:00:00+00:00,底分型,7816.01,15,4,308.91,-0.038,2019-10-17 15:00:00+00:00,2019-10-18 09:00:00+00:00,2019-10-17T15:00:00+00:00 | 2019-10-17T16:00:00+00:00 | 2019-10-17T19:00:00+00:00 | 2019-10-17T20:00:00+00:00 | 2019-10-17T21:00:00+00:00 | 2019-10-17T22:00:00+00:00 | 2019-10-17T23:00:00+00:00 | 2019-10-18T00:00:00+00:00 | 2019-10-18T01:00:00+00:00 | 2019-10-18T02:00:00+00:00 | 2019-10-18T03:00:00+00:00 | 2019-10-18T04:00:00+00:00 | 2019-10-18T05:00:00+00:00 | 2019-10-18T08:00:00+00:00 | 2019-10-18T09:00:00+00:00,2019-10-17T16:00:00+00:00:G:8124.92 | 2019-10-17T20:00:00+00:00:D:8032.54 | 2019-10-18T02:00:00+00:00:G:8115 | 2019-10-18T08:00:00+00:00:D:7816.01
6,↑ 向上,2019-10-18 08:00:00+00:00,底分型,7816.01,2019-10-18 18:00:00+00:00,顶分型,7983.32,12,6,167.31,0.0214,2019-10-18 05:00:00+00:00,2019-10-18 19:00:00+00:00,2019-10-18T05:00:00+00:00 | 2019-10-18T08:00:00+00:00 | 2019-10-18T09:00:00+00:00 | 2019-10-18T11:00:00+00:00 | 2019-10-18T12:00:00+00:00 | 2019-10-18T13:00:00+00:00 | 2019-10-18T14:00:00+00:00 | 2019-10-18T15:00:00+00:00 | 2019-10-18T16:00:00+00:00 | 2019-10-18T17:00:00+00:00 | 2019-10-18T18:00:00+00:00 | 2019-10-18T19:00:00+00:00,2019-10-18T08:00:00+00:00:D:7816.01 | 2019-10-18T12:00:00+00:00:G:7975 | 2019-10-18T14:00:00+00:00:D:7884.01 | 2019-10-18T16:00:00+00:00:G:7952.25 | 2019-10-18T17:00:00+00:00:D:7905 | 2019-10-18T18:00:00+00:00:G:7983.32
7,↓ 向下,2019-10-18 18:00:00+00:00,顶分型,7983.32,2019-10-19 02:00:00+00:00,底分型,7892.0,8,4,91.32,-0.0114,2019-10-18 17:00:00+00:00,2019-10-19 03:00:00+00:00,2019-10-18T17:00:00+00:00 | 2019-10-18T18:00:00+00:00 | 2019-10-18T19:00:00+00:00 | 2019-10-18T20:00:00+00:00 | 2019-10-18T22:00:00+00:00 | 2019-10-19T01:00:00+00:00 | 2019-10-19T02:00:00+00:00 | 2019-10-19T03:00:00+00:00,2019-10-18T18:00:00+00:00:G:7983.32 | 2019-10-18T20:00:00+00:00:D:7915.02 | 2019-10-18T22:00:00+00:00:G:7978 | 2019-10-19T02:00:00+00:00:D:7892
8,↑ 向上,2019-10-19 02:00:00+00:00,底分型,7892.0,2019-10-19 12:00:00+00:00,顶分型,8098.1,9,6,206.1,0.0261,2019-10-19 00:00:00+00:00,2019-10-19 14:00:00+00:00,2019-10-19T01:00:00+00:00 | 2019-10-19T02:00:00+00:00 | 2019-10-19T03:00:00+00:00 | 2019-10-19T05:00:00+00:00 | 2019-10-19T06:00:00+00:00 | 2019-10-19T08:00:00+00:00 | 2019-10-19T10:00:00+00:00 | 2019-10-19T12:00:00+00:00 | 2019-10-19T14:00:00+00:00,2019-10-19T02:00:00+00:00:D:7892 | 2019-10-19T03:00:00+00:00:G:7957.99 | 2019-10-19T06:00:00+00:00:D:7913.16 | 2019-10-19T08:00:00+00:00:G:7998.9 | 2019-10-19T10:00:00+00:00:D:7920 | 2019-10-19T12:00:00+00:00:G:8098.1
9,↓ 向下,2019-10-19 12:00:00+00:00,顶分型,8098.1,2019-10-20 02:00:00+00:00,底分型,7870.0,14,6,228.1,-0.0282,2019-10-19 10:00:00+00:00,2019-10-20 04:00:00+00:00,2019-10-19T10:00:00+00:00 | 2019-10-19T12:00:00+00:00 | 2019-10-19T14:00:00+00:00 | 2019-10-19T15:00:00+00:00 | 2019-10-19T16:00:00+00:00 | 2019-10-19T17:00:00+00:00 | 2019-10-19T19:00:00+00:00 | 2019-10-19T20:00:00+00:00 | 2019-10-19T21:00:00+00:00 | 2019-10-19T23:00:00+00:00 | 2019-10-20T00:00:00+00:00 | 2019-10-20T01:00:00+00:00 | 2019-10-20T02:00:00+00:00 | 2019-10-20T04:00:00+00:00,2019-10-19T12:00:00+00:00:G:8098.1 | 2019-10-19T16:00:00+00:00:D:7937.69 | 2019-10-19T17:00:00+00:00:G:7999.38 | 2019-10-19T21:00:00+00:00:D:7891.76 | 2019-10-19T23:00:00+00:00:G:7954.99 | 2019-10-20T02:00:00+00:00:D:7870
