序号,时间,open,high,low,close,原始K数,原始起点,原始终点
0,2019-10-31 09:00:00+00:00,9113.39,9114.98,9022.38,9037.92,1,2019-10-31 09:00:00+00:00,2019-10-31 09:00:00+00:00
1,2019-10-31 10:00:00+00:00,9037.92,9081.07,8913.0,9072.68,1,2019-10-31 10:00:00+00:00,2019-10-31 10:00:00+00:00
2,2019-10-31 11:00:00+00:00,9072.68,9149.42,9048.82,9109.53,1,2019-10-31 11:00:00+00:00,2019-10-31 11:00:00+00:00
3,2019-10-31 12:00:00+00:00,9405.0,9405.0,9258.88,9258.88,2,2019-10-31 12:00:00+00:00,2019-10-31 13:00:00+00:00
4,2019-10-31 14:00:00+00:00,9290.5,9291.44,9222.33,9238.65,1,2019-10-31 14:00:00+00:00,2019-10-31 14:00:00+00:00
5,2019-10-31 15:00:00+00:00,9180.0,9257.99,9180.0,9257.99,2,2019-10-31 15:00:00+00:00,2019-10-31 16:00:00+00:00
6,2019-10-31 17:00:00+00:00,9239.48,9264.04,9227.03,9243.41,1,2019-10-31 17:00:00+00:00,2019-10-31 17:00:00+00:00
7,2019-10-31 18:00:00+00:00,9250.0,9250.0,9193.1,9193.1,2,2019-10-31 18:00:00+00:00,2019-10-31 19:00:00+00:00
8,2019-10-31 20:00:00+00:00,9211.02,9243.47,9123.33,9185.98,1,2019-10-31 20:00:00+00:00,2019-10-31 20:00:00+00:00
9,2019-10-31 21:00:00+00:00,9013.0,9100.0,9013.0,9100.0,8,2019-10-31 21:00:00+00:00,2019-11-01 04:00:00+00:00
10,2019-11-01 06:00:00+00:00,9137.0,9137.0,9080.12,9080.12,3,2019-11-01 05:00:00+00:00,2019-11-01 07:00:00+00:00
11,2019-11-01 08:00:00+00:00,9099.43,9174.99,9094.2,9134.63,1,2019-11-01 08:00:00+00:00,2019-11-01 08:00:00+00:00
12,2019-11-01 09:00:00+00:00,9134.63,9136.0,9088.88,9103.12,1,2019-11-01 09:00:00+00:00,2019-11-01 09:00:00+00:00
13,2019-11-01 10:00:00+00:00,9103.42,9181.32,9095.13,9155.93,1,2019-11-01 10:00:00+00:00,2019-11-01 10:00:00+00:00
14,2019-11-01 11:00:00+00:00,9155.93,9279.0,9132.41,9163.16,1,2019-11-01 11:00:00+00:00,2019-11-01 11:00:00+00:00
15,2019-11-01 13:00:00+00:00,9061.65,9136.3,9061.65,9136.3,3,2019-11-01 12:00:00+00:00,2019-11-01 14:00:00+00:00
16,2019-11-01 15:00:00+00:00,9123.74,9248.51,9076.0,9082.43,1,2019-11-01 15:00:00+00:00,2019-11-01 15:00:00+00:00
17,2019-11-01 16:00:00+00:00,9082.43,9200.0,9060.0,9152.9,1,2019-11-01 16:00:00+00:00,2019-11-01 16:00:00+00:00
