线段序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,内部笔数,确认方式,初始主特征分型有缺口,端点是否迁移,确认发生笔位置,价差力度,涨跌幅,原始K起点,原始K终点,内部笔序号,内部笔端点
0,↑ 向上,2026-01-01 02:45:00+00:00,底分型,90.21135257685897,2026-01-01 04:45:00+00:00,顶分型,110.1655985483843,3,GAP_REVERSE_FRACTAL,True,False,9,19.95,0.2212,2026-01-01 02:30:00+00:00,2026-01-01 04:50:00+00:00,1 | 2 | 3,2026-01-01T02:45:00+00:00->2026-01-01T03:05:00+00:00 | 2026-01-01T03:05:00+00:00->2026-01-01T03:50:00+00:00 | 2026-01-01T03:50:00+00:00->2026-01-01T04:45:00+00:00
1,↓ 向下,2026-01-01 04:45:00+00:00,顶分型,110.1655985483843,2026-01-01 15:20:00+00:00,底分型,88.48868487145315,11,GAP_REVERSE_FRACTAL,True,True,20,21.68,-0.1968,2026-01-01 04:40:00+00:00,2026-01-01 15:25:00+00:00,4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14,2026-01-01T04:45:00+00:00->2026-01-01T05:30:00+00:00 | 2026-01-01T05:30:00+00:00->2026-01-01T05:45:00+00:00 | 2026-01-01T05:45:00+00:00->2026-01-01T06:55:00+00:00 | 2026-01-01T06:55:00+00:00->2026-01-01T07:30:00+00:00 | 2026-01-01T07:30:00+00:00->2026-01-01T08:05:00+00:00 | 2026-01-01T08:05:00+00:00->2026-01-01T09:00:00+00:00 | 2026-01-01T09:00:00+00:00->2026-01-01T11:15:00+00:00 | 2026-01-01T11:15:00+00:00->2026-01-01T11:40:00+00:00 | 2026-01-01T11:40:00+00:00->2026-01-01T12:05:00+00:00 | 2026-01-01T12:05:00+00:00->2026-01-01T13:15:00+00:00 | 2026-01-01T13:15:00+00:00->2026-01-01T15:20:00+00:00
2,↑ 向上,2026-01-01 15:20:00+00:00,底分型,88.48868487145315,2026-01-01 17:30:00+00:00,顶分型,111.4056493520864,3,GAP_REVERSE_FRACTAL,True,False,23,22.92,0.259,2026-01-01 15:15:00+00:00,2026-01-01 17:35:00+00:00,15 | 16 | 17,2026-01-01T15:20:00+00:00->2026-01-01T16:05:00+00:00 | 2026-01-01T16:05:00+00:00->2026-01-01T16:40:00+00:00 | 2026-01-01T16:40:00+00:00->2026-01-01T17:30:00+00:00
3,↓ 向下,2026-01-01 17:30:00+00:00,顶分型,111.4056493520864,2026-01-02 12:30:00+00:00,底分型,87.62698570132166,13,GAP_REVERSE_FRACTAL,True,True,36,23.78,-0.2134,2026-01-01 17:20:00+00:00,2026-01-02 12:40:00+00:00,18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30,2026-01-01T17:30:00+00:00->2026-01-01T18:00:00+00:00 | 2026-01-01T18:00:00+00:00->2026-01-01T18:35:00+00:00 | 2026-01-01T18:35:00+00:00->2026-01-01T19:35:00+00:00 | 2026-01-01T19:35:00+00:00->2026-01-01T20:25:00+00:00 | 2026-01-01T20:25:00+00:00->2026-01-01T20:45:00+00:00 | 2026-01-01T20:45:00+00:00->2026-01-01T21:40:00+00:00 | 2026-01-01T21:40:00+00:00->2026-01-01T23:55:00+00:00 | 2026-01-01T23:55:00+00:00->2026-01-02T02:00:00+00:00 | 2026-01-02T02:00:00+00:00->2026-01-02T04:00:00+00:00 | 2026-01-02T04:00:00+00:00->2026-01-02T06:05:00+00:00 | 2026-01-02T06:05:00+00:00->2026-01-02T08:25:00+00:00 | 2026-01-02T08:25:00+00:00->2026-01-02T10:25:00+00:00 | 2026-01-02T10:25:00+00:00->2026-01-02T12:30:00+00:00
4,↑ 向上,2026-01-02 12:30:00+00:00,底分型,87.62698570132166,2026-01-02 18:55:00+00:00,顶分型,112.90982303790344,3,NO_GAP,False,False,36,25.28,0.2885,2026-01-02 12:20:00+00:00,2026-01-02 19:00:00+00:00,31 | 32 | 33,2026-01-02T12:30:00+00:00->2026-01-02T14:45:00+00:00 | 2026-01-02T14:45:00+00:00->2026-01-02T16:45:00+00:00 | 2026-01-02T16:45:00+00:00->2026-01-02T18:55:00+00:00
5,↓ 向下,2026-01-02 18:55:00+00:00,顶分型,112.90982303790344,2026-01-03 05:20:00+00:00,底分型,86.81520442518793,5,NO_GAP,False,False,45,26.09,-0.2311,2026-01-02 18:35:00+00:00,2026-01-03 05:25:00+00:00,34 | 35 | 36 | 37 | 38,2026-01-02T18:55:00+00:00->2026-01-02T21:05:00+00:00 | 2026-01-02T21:05:00+00:00->2026-01-02T23:15:00+00:00 | 2026-01-02T23:15:00+00:00->2026-01-03T01:15:00+00:00 | 2026-01-03T01:15:00+00:00->2026-01-03T03:20:00+00:00 | 2026-01-03T03:20:00+00:00->2026-01-03T05:20:00+00:00
6,↑ 向上,2026-01-03 05:20:00+00:00,底分型,86.81520442518793,2026-01-04 00:25:00+00:00,顶分型,113.03191069092168,13,NO_GAP,False,False,56,26.22,0.302,2026-01-03 05:10:00+00:00,2026-01-04 00:30:00+00:00,39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 49 | 50 | 51,2026-01-03T05:20:00+00:00->2026-01-03T07:30:00+00:00 | 2026-01-03T07:30:00+00:00->2026-01-03T09:45:00+00:00 | 2026-01-03T09:45:00+00:00->2026-01-03T11:40:00+00:00 | 2026-01-03T11:40:00+00:00->2026-01-03T13:55:00+00:00 | 2026-01-03T13:55:00+00:00->2026-01-03T14:45:00+00:00 | 2026-01-03T14:45:00+00:00->2026-01-03T15:15:00+00:00 | 2026-01-03T15:15:00+00:00->2026-01-03T16:00:00+00:00 | 2026-01-03T16:00:00+00:00->2026-01-03T18:05:00+00:00 | 2026-01-03T18:05:00+00:00->2026-01-03T20:15:00+00:00 | 2026-01-03T20:15:00+00:00->2026-01-03T22:15:00+00:00 | 2026-01-03T22:15:00+00:00->2026-01-03T23:15:00+00:00 | 2026-01-03T23:15:00+00:00->2026-01-03T23:40:00+00:00 | 2026-01-03T23:40:00+00:00->2026-01-04T00:25:00+00:00
7,↓ 向下,2026-01-04 00:25:00+00:00,顶分型,113.03191069092168,2026-01-04 06:50:00+00:00,底分型,87.46658570820792,5,NO_GAP,False,False,61,25.57,-0.2262,2026-01-04 00:15:00+00:00,2026-01-04 06:55:00+00:00,52 | 53 | 54 | 55 | 56,2026-01-04T00:25:00+00:00->2026-01-04T02:35:00+00:00 | 2026-01-04T02:35:00+00:00->2026-01-04T03:20:00+00:00 | 2026-01-04T03:20:00+00:00->2026-01-04T03:55:00+00:00 | 2026-01-04T03:55:00+00:00->2026-01-04T04:35:00+00:00 | 2026-01-04T04:35:00+00:00->2026-01-04T06:50:00+00:00
8,↑ 向上,2026-01-04 06:50:00+00:00,底分型,87.46658570820792,2026-01-04 13:10:00+00:00,顶分型,112.1559268230961,5,NO_GAP,False,False,68,24.69,0.2823,2026-01-04 06:40:00+00:00,2026-01-04 13:15:00+00:00,57 | 58 | 59 | 60 | 61,2026-01-04T06:50:00+00:00->2026-01-04T08:55:00+00:00 | 2026-01-04T08:55:00+00:00->2026-01-04T10:55:00+00:00 | 2026-01-04T10:55:00+00:00->2026-01-04T11:55:00+00:00 | 2026-01-04T11:55:00+00:00->2026-01-04T12:10:00+00:00 | 2026-01-04T12:10:00+00:00->2026-01-04T13:10:00+00:00
9,↓ 向下,2026-01-04 13:10:00+00:00,顶分型,112.1559268230961,2026-01-04 23:40:00+00:00,底分型,88.60401387372335,7,NO_GAP,False,False,71,23.55,-0.21,2026-01-04 13:05:00+00:00,2026-01-04 23:50:00+00:00,62 | 63 | 64 | 65 | 66 | 67 | 68,2026-01-04T13:10:00+00:00->2026-01-04T15:15:00+00:00 | 2026-01-04T15:15:00+00:00->2026-01-04T17:25:00+00:00 | 2026-01-04T17:25:00+00:00->2026-01-04T19:25:00+00:00 | 2026-01-04T19:25:00+00:00->2026-01-04T20:15:00+00:00 | 2026-01-04T20:15:00+00:00->2026-01-04T20:40:00+00:00 | 2026-01-04T20:40:00+00:00->2026-01-04T21:40:00+00:00 | 2026-01-04T21:40:00+00:00->2026-01-04T23:40:00+00:00
10,↑ 向上,2026-01-04 23:40:00+00:00,底分型,88.60401387372335,2026-01-05 01:45:00+00:00,顶分型,111.78572434625978,3,NO_GAP,False,False,74,23.18,0.2616,2026-01-04 23:35:00+00:00,2026-01-05 01:55:00+00:00,69 | 70 | 71,2026-01-04T23:40:00+00:00->2026-01-05T00:40:00+00:00 | 2026-01-05T00:40:00+00:00->2026-01-05T01:05:00+00:00 | 2026-01-05T01:05:00+00:00->2026-01-05T01:45:00+00:00
11,↓ 向下,2026-01-05 01:45:00+00:00,顶分型,111.78572434625978,2026-01-05 04:05:00+00:00,底分型,89.45099765756609,3,NO_GAP,False,False,79,22.33,-0.1998,2026-01-05 01:40:00+00:00,2026-01-05 04:10:00+00:00,72 | 73 | 74,2026-01-05T01:45:00+00:00->2026-01-05T02:55:00+00:00 | 2026-01-05T02:55:00+00:00->2026-01-05T03:20:00+00:00 | 2026-01-05T03:20:00+00:00->2026-01-05T04:05:00+00:00
12,↑ 向上,2026-01-05 04:05:00+00:00,底分型,89.45099765756609,2026-01-05 10:15:00+00:00,顶分型,110.75438145810709,5,NO_GAP,False,False,84,21.3,0.2382,2026-01-05 03:50:00+00:00,2026-01-05 10:20:00+00:00,75 | 76 | 77 | 78 | 79,2026-01-05T04:05:00+00:00->2026-01-05T06:10:00+00:00 | 2026-01-05T06:10:00+00:00->2026-01-05T08:15:00+00:00 | 2026-01-05T08:15:00+00:00->2026-01-05T09:15:00+00:00 | 2026-01-05T09:15:00+00:00->2026-01-05T09:40:00+00:00 | 2026-01-05T09:40:00+00:00->2026-01-05T10:15:00+00:00
