笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
0,↓ 向下,2026-01-01 00:30:00+00:00,顶分型,109.0806836428213,2026-01-01 02:45:00+00:00,底分型,90.21135257685897,20,6,18.87,-0.173,2026-01-01 00:25:00+00:00,2026-01-01 02:50:00+00:00,2026-01-01T00:25:00+00:00 | 2026-01-01T00:30:00+00:00 | 2026-01-01T00:40:00+00:00 | 2026-01-01T00:45:00+00:00 | 2026-01-01T00:55:00+00:00 | 2026-01-01T01:10:00+00:00 | 2026-01-01T01:15:00+00:00 | 2026-01-01T01:20:00+00:00 | 2026-01-01T01:25:00+00:00 | 2026-01-01T01:50:00+00:00 | 2026-01-01T01:55:00+00:00 | 2026-01-01T02:00:00+00:00 | 2026-01-01T02:05:00+00:00 | 2026-01-01T02:10:00+00:00 | 2026-01-01T02:15:00+00:00 | 2026-01-01T02:20:00+00:00 | 2026-01-01T02:25:00+00:00 | 2026-01-01T02:40:00+00:00 | 2026-01-01T02:45:00+00:00 | 2026-01-01T02:50:00+00:00,2026-01-01T00:30:00+00:00:G:109.080683643 | 2026-01-01T00:55:00+00:00:D:103.785064109 | 2026-01-01T01:10:00+00:00:G:107.523091776 | 2026-01-01T01:15:00+00:00:D:103.640858147 | 2026-01-01T01:25:00+00:00:G:109.021893052 | 2026-01-01T02:45:00+00:00:D:90.2113525769
1,↑ 向上,2026-01-01 02:45:00+00:00,底分型,90.21135257685897,2026-01-01 03:05:00+00:00,顶分型,96.81851170503464,7,2,6.61,0.0732,2026-01-01 02:30:00+00:00,2026-01-01 03:15:00+00:00,2026-01-01T02:40:00+00:00 | 2026-01-01T02:45:00+00:00 | 2026-01-01T02:50:00+00:00 | 2026-01-01T02:55:00+00:00 | 2026-01-01T03:00:00+00:00 | 2026-01-01T03:05:00+00:00 | 2026-01-01T03:15:00+00:00,2026-01-01T02:45:00+00:00:D:90.2113525769 | 2026-01-01T03:05:00+00:00:G:96.818511705
2,↓ 向下,2026-01-01 03:05:00+00:00,顶分型,96.81851170503464,2026-01-01 03:50:00+00:00,底分型,90.49466805075645,9,4,6.32,-0.0653,2026-01-01 03:00:00+00:00,2026-01-01 03:55:00+00:00,2026-01-01T03:00:00+00:00 | 2026-01-01T03:05:00+00:00 | 2026-01-01T03:15:00+00:00 | 2026-01-01T03:20:00+00:00 | 2026-01-01T03:30:00+00:00 | 2026-01-01T03:35:00+00:00 | 2026-01-01T03:45:00+00:00 | 2026-01-01T03:50:00+00:00 | 2026-01-01T03:55:00+00:00,2026-01-01T03:05:00+00:00:G:96.818511705 | 2026-01-01T03:15:00+00:00:D:93.6048562138 | 2026-01-01T03:20:00+00:00:G:95.9418712439 | 2026-01-01T03:50:00+00:00:D:90.4946680508
3,↑ 向上,2026-01-01 03:50:00+00:00,底分型,90.49466805075645,2026-01-01 04:45:00+00:00,顶分型,110.1655985483843,11,2,19.67,0.2174,2026-01-01 03:45:00+00:00,2026-01-01 04:50:00+00:00,2026-01-01T03:45:00+00:00 | 2026-01-01T03:50:00+00:00 | 2026-01-01T03:55:00+00:00 | 2026-01-01T04:00:00+00:00 | 2026-01-01T04:05:00+00:00 | 2026-01-01T04:10:00+00:00 | 2026-01-01T04:15:00+00:00 | 2026-01-01T04:35:00+00:00 | 2026-01-01T04:40:00+00:00 | 2026-01-01T04:45:00+00:00 | 2026-01-01T04:50:00+00:00,2026-01-01T03:50:00+00:00:D:90.4946680508 | 2026-01-01T04:45:00+00:00:G:110.165598548
4,↓ 向下,2026-01-01 04:45:00+00:00,顶分型,110.1655985483843,2026-01-01 05:30:00+00:00,底分型,103.19397181164493,10,4,6.97,-0.0633,2026-01-01 04:40:00+00:00,2026-01-01 05:35:00+00:00,2026-01-01T04:40:00+00:00 | 2026-01-01T04:45:00+00:00 | 2026-01-01T04:55:00+00:00 | 2026-01-01T05:00:00+00:00 | 2026-01-01T05:05:00+00:00 | 2026-01-01T05:10:00+00:00 | 2026-01-01T05:15:00+00:00 | 2026-01-01T05:25:00+00:00 | 2026-01-01T05:30:00+00:00 | 2026-01-01T05:35:00+00:00,2026-01-01T04:45:00+00:00:G:110.165598548 | 2026-01-01T05:15:00+00:00:D:103.818221064 | 2026-01-01T05:25:00+00:00:G:107.070107865 | 2026-01-01T05:30:00+00:00:D:103.193971812
5,↑ 向上,2026-01-01 05:30:00+00:00,底分型,103.19397181164493,2026-01-01 05:45:00+00:00,顶分型,109.30490369644671,6,2,6.11,0.0592,2026-01-01 05:25:00+00:00,2026-01-01 05:50:00+00:00,2026-01-01T05:25:00+00:00 | 2026-01-01T05:30:00+00:00 | 2026-01-01T05:35:00+00:00 | 2026-01-01T05:40:00+00:00 | 2026-01-01T05:45:00+00:00 | 2026-01-01T05:50:00+00:00,2026-01-01T05:30:00+00:00:D:103.193971812 | 2026-01-01T05:45:00+00:00:G:109.304903696
6,↓ 向下,2026-01-01 05:45:00+00:00,顶分型,109.30490369644671,2026-01-01 06:55:00+00:00,底分型,90.02383139102206,14,4,19.28,-0.1764,2026-01-01 05:40:00+00:00,2026-01-01 07:00:00+00:00,2026-01-01T05:40:00+00:00 | 2026-01-01T05:45:00+00:00 | 2026-01-01T05:50:00+00:00 | 2026-01-01T06:00:00+00:00 | 2026-01-01T06:05:00+00:00 | 2026-01-01T06:10:00+00:00 | 2026-01-01T06:15:00+00:00 | 2026-01-01T06:20:00+00:00 | 2026-01-01T06:25:00+00:00 | 2026-01-01T06:30:00+00:00 | 2026-01-01T06:40:00+00:00 | 2026-01-01T06:45:00+00:00 | 2026-01-01T06:55:00+00:00 | 2026-01-01T07:00:00+00:00,2026-01-01T05:45:00+00:00:G:109.304903696 | 2026-01-01T05:50:00+00:00:D:105.305196963 | 2026-01-01T06:00:00+00:00:G:109.279413834 | 2026-01-01T06:55:00+00:00:D:90.023831391
7,↑ 向上,2026-01-01 06:55:00+00:00,底分型,90.02383139102206,2026-01-01 07:30:00+00:00,顶分型,97.06547295506631,6,2,7.04,0.0782,2026-01-01 06:45:00+00:00,2026-01-01 07:35:00+00:00,2026-01-01T06:45:00+00:00 | 2026-01-01T06:55:00+00:00 | 2026-01-01T07:15:00+00:00 | 2026-01-01T07:25:00+00:00 | 2026-01-01T07:30:00+00:00 | 2026-01-01T07:35:00+00:00,2026-01-01T06:55:00+00:00:D:90.023831391 | 2026-01-01T07:30:00+00:00:G:97.0654729551
8,↓ 向下,2026-01-01 07:30:00+00:00,顶分型,97.06547295506631,2026-01-01 08:05:00+00:00,底分型,91.48553340269935,6,2,5.58,-0.0575,2026-01-01 07:25:00+00:00,2026-01-01 08:10:00+00:00,2026-01-01T07:25:00+00:00 | 2026-01-01T07:30:00+00:00 | 2026-01-01T07:35:00+00:00 | 2026-01-01T07:50:00+00:00 | 2026-01-01T08:05:00+00:00 | 2026-01-01T08:10:00+00:00,2026-01-01T07:30:00+00:00:G:97.0654729551 | 2026-01-01T08:05:00+00:00:D:91.4855334027
9,↑ 向上,2026-01-01 08:05:00+00:00,底分型,91.48553340269935,2026-01-01 09:00:00+00:00,顶分型,110.04996753043196,13,2,18.56,0.2029,2026-01-01 07:40:00+00:00,2026-01-01 09:05:00+00:00,2026-01-01T07:50:00+00:00 | 2026-01-01T08:05:00+00:00 | 2026-01-01T08:10:00+00:00 | 2026-01-01T08:20:00+00:00 | 2026-01-01T08:25:00+00:00 | 2026-01-01T08:30:00+00:00 | 2026-01-01T08:35:00+00:00 | 2026-01-01T08:40:00+00:00 | 2026-01-01T08:45:00+00:00 | 2026-01-01T08:50:00+00:00 | 2026-01-01T08:55:00+00:00 | 2026-01-01T09:00:00+00:00 | 2026-01-01T09:05:00+00:00,2026-01-01T08:05:00+00:00:D:91.4855334027 | 2026-01-01T09:00:00+00:00:G:110.04996753
