序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
1,向上,0,向上,向下,2,96.81851170503464,90.49466805075645,2026-01-01 03:05:00+00:00,2026-01-01 03:50:00+00:00
1,向上,1,向上,向下,4,110.1655985483843,103.19397181164493,2026-01-01 04:45:00+00:00,2026-01-01 05:30:00+00:00
1,向上,2,向下,向下,6,109.30490369644671,90.02383139102206,2026-01-01 05:45:00+00:00,2026-01-01 06:55:00+00:00
1,向上,3,向上,向下,4,110.1655985483843,103.19397181164493,2026-01-01 04:45:00+00:00,2026-01-01 05:30:00+00:00
1,向上,4,向上,向下,6,109.30490369644671,90.02383139102206,2026-01-01 05:45:00+00:00,2026-01-01 06:55:00+00:00
1,向上,5,向上,向下,6 | 8,109.30490369644671,91.48553340269935,2026-01-01 05:45:00+00:00,2026-01-01 08:05:00+00:00
1,向上,8,向上,向下,8,97.06547295506631,91.48553340269935,2026-01-01 07:30:00+00:00,2026-01-01 08:05:00+00:00
4,向下,0,向下,向上,5,109.30490369644671,103.19397181164493,2026-01-01 05:30:00+00:00,2026-01-01 05:45:00+00:00
4,向下,1,向下,向上,7,97.06547295506631,90.02383139102206,2026-01-01 06:55:00+00:00,2026-01-01 07:30:00+00:00
4,向下,2,向上,向上,9,110.04996753043196,91.48553340269935,2026-01-01 08:05:00+00:00,2026-01-01 09:00:00+00:00
4,向下,3,向下,向上,7,97.06547295506631,90.02383139102206,2026-01-01 06:55:00+00:00,2026-01-01 07:30:00+00:00
4,向下,4,向下,向上,9,110.04996753043196,91.48553340269935,2026-01-01 08:05:00+00:00,2026-01-01 09:00:00+00:00
4,向下,5,向下,向上,9,110.04996753043196,91.48553340269935,2026-01-01 08:05:00+00:00,2026-01-01 09:00:00+00:00
4,向下,6,向下,向上,11,96.92762435451456,89.32242699416904,2026-01-01 11:15:00+00:00,2026-01-01 11:40:00+00:00
4,向下,7,向上,向上,13,110.70300877779218,92.0764842983984,2026-01-01 12:05:00+00:00,2026-01-01 13:15:00+00:00
4,向下,8,向下,向上,11,96.92762435451456,89.32242699416904,2026-01-01 11:15:00+00:00,2026-01-01 11:40:00+00:00
4,向下,9,向下,向上,13,110.70300877779218,92.0764842983984,2026-01-01 12:05:00+00:00,2026-01-01 13:15:00+00:00
4,向下,10,向下,向上,13,110.70300877779218,92.0764842983984,2026-01-01 12:05:00+00:00,2026-01-01 13:15:00+00:00
7,向上,0,向上,向下,8,97.06547295506631,91.48553340269935,2026-01-01 07:30:00+00:00,2026-01-01 08:05:00+00:00
7,向上,1,向上,向下,10,110.04996753043196,89.32242699416904,2026-01-01 09:00:00+00:00,2026-01-01 11:15:00+00:00
7,向上,3,向上,向下,10,110.04996753043196,89.32242699416904,2026-01-01 09:00:00+00:00,2026-01-01 11:15:00+00:00
11,向上,0,向上,向下,12,96.92762435451456,92.0764842983984,2026-01-01 11:40:00+00:00,2026-01-01 12:05:00+00:00
11,向上,1,向上,向下,14 | 16,110.70300877779218,93.13273354608877,2026-01-01 13:15:00+00:00,2026-01-01 16:40:00+00:00
11,向上,2,向上,向下,18,111.4056493520864,102.29706340830454,2026-01-01 17:30:00+00:00,2026-01-01 18:00:00+00:00
11,向上,3,向上,向下,14 | 16,110.70300877779218,93.13273354608877,2026-01-01 13:15:00+00:00,2026-01-01 16:40:00+00:00
11,向上,4,向上,向下,18,111.4056493520864,102.29706340830454,2026-01-01 17:30:00+00:00,2026-01-01 18:00:00+00:00
11,向上,5,向下,向下,20,107.06845072486294,88.6365448331546,2026-01-01 18:35:00+00:00,2026-01-01 19:35:00+00:00
11,向上,6,向上,向下,16,97.27854774450441,93.13273354608877,2026-01-01 16:05:00+00:00,2026-01-01 16:40:00+00:00
11,向上,7,向上,向下,18,111.4056493520864,102.29706340830454,2026-01-01 17:30:00+00:00,2026-01-01 18:00:00+00:00
11,向上,8,向下,向下,20,107.06845072486294,88.6365448331546,2026-01-01 18:35:00+00:00,2026-01-01 19:35:00+00:00
11,向上,9,向上,向下,18,111.4056493520864,102.29706340830454,2026-01-01 17:30:00+00:00,2026-01-01 18:00:00+00:00
11,向上,10,向上,向下,20,107.06845072486294,88.6365448331546,2026-01-01 18:35:00+00:00,2026-01-01 19:35:00+00:00
11,向上,11,向上,向下,20,107.06845072486294,88.6365448331546,2026-01-01 18:35:00+00:00,2026-01-01 19:35:00+00:00
18,向下,0,向下,向上,19,107.06845072486294,102.29706340830454,2026-01-01 18:00:00+00:00,2026-01-01 18:35:00+00:00
18,向下,1,向下,向上,21,97.94794724973201,88.6365448331546,2026-01-01 19:35:00+00:00,2026-01-01 20:25:00+00:00
18,向下,2,向上,向上,23,111.36058495155504,92.7786512969366,2026-01-01 20:45:00+00:00,2026-01-01 21:40:00+00:00
18,向下,3,向下,向上,21,97.94794724973201,88.6365448331546,2026-01-01 19:35:00+00:00,2026-01-01 20:25:00+00:00
18,向下,4,向下,向上,23,111.36058495155504,92.7786512969366,2026-01-01 20:45:00+00:00,2026-01-01 21:40:00+00:00
18,向下,5,向下,向上,23,111.36058495155504,92.7786512969366,2026-01-01 20:45:00+00:00,2026-01-01 21:40:00+00:00
18,向下,6,向下,向上,25,111.24674494270633,87.98510805198188,2026-01-01 23:55:00+00:00,2026-01-02 02:00:00+00:00
18,向下,7,向上,向上,27,111.57148496409079,88.31545788263514,2026-01-02 04:00:00+00:00,2026-01-02 06:05:00+00:00
18,向下,8,向下,向上,25,111.24674494270633,87.98510805198188,2026-01-01 23:55:00+00:00,2026-01-02 02:00:00+00:00
18,向下,9,向下,向上,27,111.57148496409079,88.31545788263514,2026-01-02 04:00:00+00:00,2026-01-02 06:05:00+00:00
18,向下,10,向下,向上,27,111.57148496409079,88.31545788263514,2026-01-02 04:00:00+00:00,2026-01-02 06:05:00+00:00
21,向上,0,向上,向下,22,97.94794724973201,92.7786512969366,2026-01-01 20:25:00+00:00,2026-01-01 20:45:00+00:00
21,向上,1,向上,向下,24,111.36058495155504,87.98510805198188,2026-01-01 21:40:00+00:00,2026-01-01 23:55:00+00:00
21,向上,3,向上,向下,24,111.36058495155504,87.98510805198188,2026-01-01 21:40:00+00:00,2026-01-01 23:55:00+00:00
25,向上,0,向上,向下,26,111.24674494270633,88.31545788263514,2026-01-02 02:00:00+00:00,2026-01-02 04:00:00+00:00
25,向上,1,向上,向下,28 | 30 | 32,112.71101170631997,88.11451331996184,2026-01-02 06:05:00+00:00,2026-01-02 16:45:00+00:00
25,向上,2,向上,向下,34,112.90982303790344,88.15199131162187,2026-01-02 18:55:00+00:00,2026-01-02 21:05:00+00:00
25,向上,3,向上,向下,28,111.57148496409079,87.72717662566545,2026-01-02 06:05:00+00:00,2026-01-02 08:25:00+00:00
25,向上,4,向上,向下,30 | 32,112.71101170631997,88.11451331996184,2026-01-02 10:25:00+00:00,2026-01-02 16:45:00+00:00
25,向上,5,向上,向下,34,112.90982303790344,88.15199131162187,2026-01-02 18:55:00+00:00,2026-01-02 21:05:00+00:00
25,向上,6,向上,向下,30 | 32,112.71101170631997,88.11451331996184,2026-01-02 10:25:00+00:00,2026-01-02 16:45:00+00:00
25,向上,7,向上,向下,34,112.90982303790344,88.15199131162187,2026-01-02 18:55:00+00:00,2026-01-02 21:05:00+00:00
25,向上,8,向下,向下,36,111.14213571881905,87.12418866727596,2026-01-02 23:15:00+00:00,2026-01-03 01:15:00+00:00
25,向上,9,向上,向下,32,112.03754551712409,88.11451331996184,2026-01-02 14:45:00+00:00,2026-01-02 16:45:00+00:00
25,向上,10,向上,向下,34,112.90982303790344,88.15199131162187,2026-01-02 18:55:00+00:00,2026-01-02 21:05:00+00:00
25,向上,11,向下,向下,36,111.14213571881905,87.12418866727596,2026-01-02 23:15:00+00:00,2026-01-03 01:15:00+00:00
25,向上,12,向上,向下,34,112.90982303790344,88.15199131162187,2026-01-02 18:55:00+00:00,2026-01-02 21:05:00+00:00
25,向上,13,向上,向下,36,111.14213571881905,87.12418866727596,2026-01-02 23:15:00+00:00,2026-01-03 01:15:00+00:00
25,向上,14,向上,向下,36,111.14213571881905,87.12418866727596,2026-01-02 23:15:00+00:00,2026-01-03 01:15:00+00:00
34,向下,0,向下,向上,35,111.14213571881905,88.15199131162187,2026-01-02 21:05:00+00:00,2026-01-02 23:15:00+00:00
34,向下,1,向下,向上,37,112.90029034767245,87.12418866727596,2026-01-03 01:15:00+00:00,2026-01-03 03:20:00+00:00
34,向下,2,向下,向上,39,112.77786294212211,86.81520442518793,2026-01-03 05:20:00+00:00,2026-01-03 07:30:00+00:00
34,向下,3,向下,向上,37,112.90029034767245,87.12418866727596,2026-01-03 01:15:00+00:00,2026-01-03 03:20:00+00:00
34,向下,4,向下,向上,39 | 41 | 43,102.9946685126558,86.81520442518793,2026-01-03 05:20:00+00:00,2026-01-03 14:45:00+00:00
34,向下,5,向上,向上,45,112.66353108755645,98.69893856579718,2026-01-03 15:15:00+00:00,2026-01-03 16:00:00+00:00
34,向下,6,向下,向上,39 | 41 | 43,102.9946685126558,86.81520442518793,2026-01-03 05:20:00+00:00,2026-01-03 14:45:00+00:00
34,向下,7,向下,向上,45,112.66353108755645,98.69893856579718,2026-01-03 15:15:00+00:00,2026-01-03 16:00:00+00:00
34,向下,8,向下,向上,41 | 43,102.9946685126558,87.19160120798674,2026-01-03 09:45:00+00:00,2026-01-03 14:45:00+00:00
34,向下,9,向下,向上,45,112.66353108755645,98.69893856579718,2026-01-03 15:15:00+00:00,2026-01-03 16:00:00+00:00
34,向下,10,向下,向上,43,102.9946685126558,88.63742205159966,2026-01-03 13:55:00+00:00,2026-01-03 14:45:00+00:00
34,向下,11,向下,向上,45,112.66353108755645,98.69893856579718,2026-01-03 15:15:00+00:00,2026-01-03 16:00:00+00:00
34,向下,12,向下,向上,45,112.66353108755645,98.69893856579718,2026-01-03 15:15:00+00:00,2026-01-03 16:00:00+00:00
39,向上,0,向上,向下,40 | 42 | 44,112.77786294212211,98.69893856579718,2026-01-03 07:30:00+00:00,2026-01-03 15:15:00+00:00
39,向上,1,向上,向下,46,112.66353108755645,87.44919996426054,2026-01-03 16:00:00+00:00,2026-01-03 18:05:00+00:00
39,向上,2,向上,向下,42 | 44,112.50427365781263,98.69893856579718,2026-01-03 11:40:00+00:00,2026-01-03 15:15:00+00:00
39,向上,3,向上,向下,46 | 48 | 50 | 52 | 54,113.03191069092168,101.26110087324513,2026-01-03 16:00:00+00:00,2026-01-04 03:55:00+00:00
39,向上,4,向下,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,5,向上,向下,44,102.9946685126558,98.69893856579718,2026-01-03 14:45:00+00:00,2026-01-03 15:15:00+00:00
39,向上,6,向上,向下,46 | 48 | 50 | 52 | 54,113.03191069092168,101.26110087324513,2026-01-03 16:00:00+00:00,2026-01-04 03:55:00+00:00
39,向上,7,向下,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,8,向上,向下,46,112.66353108755645,87.44919996426054,2026-01-03 16:00:00+00:00,2026-01-03 18:05:00+00:00
39,向上,9,向上,向下,48 | 50 | 52 | 54,113.03191069092168,101.26110087324513,2026-01-03 20:15:00+00:00,2026-01-04 03:55:00+00:00
39,向上,10,向下,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,11,向上,向下,48 | 50,112.74946411345077,100.65273171626683,2026-01-03 20:15:00+00:00,2026-01-03 23:40:00+00:00
39,向上,12,向上,向下,52 | 54,113.03191069092168,101.26110087324513,2026-01-04 00:25:00+00:00,2026-01-04 03:55:00+00:00
39,向上,13,向下,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,14,向上,向下,50,104.57919890631288,100.65273171626683,2026-01-03 23:15:00+00:00,2026-01-03 23:40:00+00:00
39,向上,15,向上,向下,52 | 54,113.03191069092168,101.26110087324513,2026-01-04 00:25:00+00:00,2026-01-04 03:55:00+00:00
39,向上,16,向下,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,17,向上,向下,52 | 54,113.03191069092168,101.26110087324513,2026-01-04 00:25:00+00:00,2026-01-04 03:55:00+00:00
39,向上,18,向上,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,19,向上,向下,54,104.17963912097417,101.26110087324513,2026-01-04 03:20:00+00:00,2026-01-04 03:55:00+00:00
39,向上,20,向上,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
39,向上,22,向上,向下,56,112.17660901655026,87.46658570820792,2026-01-04 04:35:00+00:00,2026-01-04 06:50:00+00:00
52,向下,0,向下,向上,53,104.17963912097417,87.90904518704087,2026-01-04 02:35:00+00:00,2026-01-04 03:20:00+00:00
52,向下,1,向下,向上,55,112.17660901655026,101.26110087324513,2026-01-04 03:55:00+00:00,2026-01-04 04:35:00+00:00
52,向下,2,向下,向上,55,112.17660901655026,101.26110087324513,2026-01-04 03:55:00+00:00,2026-01-04 04:35:00+00:00
52,向下,3,向下,向上,57 | 59,105.9981809164548,87.46658570820792,2026-01-04 06:50:00+00:00,2026-01-04 11:55:00+00:00
52,向下,4,向上,向上,61,112.1559268230961,101.93157654664431,2026-01-04 12:10:00+00:00,2026-01-04 13:10:00+00:00
52,向下,5,向下,向上,57 | 59,105.9981809164548,87.46658570820792,2026-01-04 06:50:00+00:00,2026-01-04 11:55:00+00:00
52,向下,6,向下,向上,61,112.1559268230961,101.93157654664431,2026-01-04 12:10:00+00:00,2026-01-04 13:10:00+00:00
52,向下,7,向下,向上,59,105.9981809164548,87.91588838202955,2026-01-04 10:55:00+00:00,2026-01-04 11:55:00+00:00
52,向下,8,向下,向上,61,112.1559268230961,101.93157654664431,2026-01-04 12:10:00+00:00,2026-01-04 13:10:00+00:00
52,向下,9,向下,向上,61,112.1559268230961,101.93157654664431,2026-01-04 12:10:00+00:00,2026-01-04 13:10:00+00:00
57,向上,0,向上,向下,58 | 60,112.53432861511307,101.93157654664431,2026-01-04 08:55:00+00:00,2026-01-04 12:10:00+00:00
57,向上,1,向上,向下,62,112.1559268230961,87.63018811847257,2026-01-04 13:10:00+00:00,2026-01-04 15:15:00+00:00
57,向上,2,向上,向下,60,105.9981809164548,101.93157654664431,2026-01-04 11:55:00+00:00,2026-01-04 12:10:00+00:00
57,向上,3,向上,向下,62 | 64 | 66,112.1559268230961,102.30404140606854,2026-01-04 13:10:00+00:00,2026-01-04 20:40:00+00:00
57,向上,4,向下,向下,68,111.64281191747155,88.60401387372335,2026-01-04 21:40:00+00:00,2026-01-04 23:40:00+00:00
57,向上,5,向上,向下,62 | 64 | 66,112.1559268230961,102.30404140606854,2026-01-04 13:10:00+00:00,2026-01-04 20:40:00+00:00
57,向上,6,向上,向下,68,111.64281191747155,88.60401387372335,2026-01-04 21:40:00+00:00,2026-01-04 23:40:00+00:00
57,向上,7,向上,向下,64 | 66,111.18601477350992,102.30404140606854,2026-01-04 17:25:00+00:00,2026-01-04 20:40:00+00:00
57,向上,8,向上,向下,68,111.64281191747155,88.60401387372335,2026-01-04 21:40:00+00:00,2026-01-04 23:40:00+00:00
57,向上,10,向上,向下,66,106.69447912562491,102.30404140606854,2026-01-04 20:15:00+00:00,2026-01-04 20:40:00+00:00
57,向上,11,向上,向下,68,111.64281191747155,88.60401387372335,2026-01-04 21:40:00+00:00,2026-01-04 23:40:00+00:00
57,向上,13,向上,向下,68,111.64281191747155,88.60401387372335,2026-01-04 21:40:00+00:00,2026-01-04 23:40:00+00:00
62,向下,0,向下,向上,63 | 65,106.69447912562491,87.63018811847257,2026-01-04 15:15:00+00:00,2026-01-04 20:15:00+00:00
62,向下,1,向下,向上,67,111.64281191747155,102.30404140606854,2026-01-04 20:40:00+00:00,2026-01-04 21:40:00+00:00
62,向下,2,向下,向上,65,106.69447912562491,89.0316216240989,2026-01-04 19:25:00+00:00,2026-01-04 20:15:00+00:00
62,向下,3,向下,向上,67,111.64281191747155,102.30404140606854,2026-01-04 20:40:00+00:00,2026-01-04 21:40:00+00:00
62,向下,4,向下,向上,67,111.64281191747155,102.30404140606854,2026-01-04 20:40:00+00:00,2026-01-04 21:40:00+00:00
62,向下,5,向下,向上,69,108.31037287420621,88.60401387372335,2026-01-04 23:40:00+00:00,2026-01-05 00:40:00+00:00
62,向下,6,向上,向上,71,111.78572434625978,103.38106058802181,2026-01-05 01:05:00+00:00,2026-01-05 01:45:00+00:00
62,向下,7,向下,向上,69,108.31037287420621,88.60401387372335,2026-01-04 23:40:00+00:00,2026-01-05 00:40:00+00:00
62,向下,8,向下,向上,71,111.78572434625978,103.38106058802181,2026-01-05 01:05:00+00:00,2026-01-05 01:45:00+00:00
62,向下,9,向下,向上,71,111.78572434625978,103.38106058802181,2026-01-05 01:05:00+00:00,2026-01-05 01:45:00+00:00
69,向上,0,向上,向下,70,108.31037287420621,103.38106058802181,2026-01-05 00:40:00+00:00,2026-01-05 01:05:00+00:00
69,向上,1,向上,向下,72,111.78572434625978,92.19431604369704,2026-01-05 01:45:00+00:00,2026-01-05 02:55:00+00:00
69,向上,2,向下,向下,74,97.35022824378508,89.45099765756609,2026-01-05 03:20:00+00:00,2026-01-05 04:05:00+00:00
69,向上,3,向上,向下,72,111.78572434625978,92.19431604369704,2026-01-05 01:45:00+00:00,2026-01-05 02:55:00+00:00
69,向上,4,向上,向下,74,97.35022824378508,89.45099765756609,2026-01-05 03:20:00+00:00,2026-01-05 04:05:00+00:00
69,向上,5,向上,向下,74,97.35022824378508,89.45099765756609,2026-01-05 03:20:00+00:00,2026-01-05 04:05:00+00:00
