待识别线段方向,分型类型,候选端点笔位置,候选端点时间,候选端点价格,第一元素笔位置,第二元素笔位置,第三元素笔位置,第一二元素有缺口,真实突破,真实突破状态,确认观察至笔位置
向下,底分型,7,2026-01-01 06:55:00+00:00,90.02383139102206,3 | 5,7,9,False,True,已确认,9
向上,顶分型,18,2026-01-01 17:30:00+00:00,111.4056493520864,14 | 16,18,20,False,True,已确认,20
向下,底分型,21,2026-01-01 19:35:00+00:00,88.6365448331546,19,21,23,True,True,已确认,23
向上,顶分型,30,2026-01-02 10:25:00+00:00,112.71101170631997,22,24 | 26 | 28 | 30,32,False,False,已否定,34
向上,顶分型,34,2026-01-02 18:55:00+00:00,112.90982303790344,30 | 32,34,36,False,True,已确认,36
向下,底分型,39,2026-01-03 05:20:00+00:00,86.81520442518793,37,39 | 41 | 43,45,False,True,已确认,45
向上,顶分型,52,2026-01-04 00:25:00+00:00,113.03191069092168,42 | 44,46 | 48 | 50 | 52 | 54,56,False,True,已确认,56
向下,底分型,57,2026-01-04 06:50:00+00:00,87.46658570820792,55,57 | 59,61,False,True,已确认,61
向上,顶分型,62,2026-01-04 13:10:00+00:00,112.1559268230961,60,62 | 64 | 66,68,False,True,已确认,68
向下,底分型,69,2026-01-04 23:40:00+00:00,88.60401387372335,67,69,71,False,True,已确认,71
向上,顶分型,72,2026-01-05 01:45:00+00:00,111.78572434625978,70,72,74,False,True,已确认,74
向下,底分型,75,2026-01-05 04:05:00+00:00,89.45099765756609,73,75 | 77,79,False,True,已确认,79
向上,顶分型,80,2026-01-05 10:15:00+00:00,110.75438145810709,76 | 78,80 | 82,84,False,True,已确认,84
向下,底分型,85,2026-01-05 16:25:00+00:00,90.39620611770233,83,85,87,False,True,已确认,87
向上,顶分型,88,2026-01-05 18:50:00+00:00,109.58597942759285,86,88,90,False,True,已确认,90
向下,底分型,95,2026-01-06 00:05:00+00:00,89.8845761521106,91 | 93,95,97,False,True,已确认,97
向上,顶分型,104,2026-01-06 10:30:00+00:00,111.40991252945928,102,104,106,False,True,已确认,106
向下,底分型,107,2026-01-06 12:45:00+00:00,88.46300700071127,105,107,109,True,True,已确认,109
向上,顶分型,116,2026-01-07 03:30:00+00:00,112.40455765660947,110,112 | 114 | 116 | 118 | 120,122,False,True,已确认,122
向下,底分型,125,2026-01-07 14:05:00+00:00,87.12087124398333,119 | 121,123 | 125,127,False,True,已确认,127
向上,顶分型,128,2026-01-07 20:25:00+00:00,112.85866737381562,126,128,130,False,True,已确认,130
向下,底分型,135,2026-01-08 02:45:00+00:00,87.1809765505783,131 | 133,135,137,False,True,已确认,137
向上,顶分型,138,2026-01-08 04:50:00+00:00,113.57894951849332,136,138 | 140,142,False,True,已确认,142
向下,底分型,145,2026-01-08 19:45:00+00:00,87.27018566434882,141,143 | 145 | 147,149,False,True,已确认,149
向上,顶分型,150,2026-01-09 02:00:00+00:00,112.67400167821718,148,150,152,False,True,已确认,152
向下,底分型,153,2026-01-09 08:15:00+00:00,87.6928949866896,151,153,155,False,True,已确认,155
向上,顶分型,156,2026-01-09 10:25:00+00:00,112.1945857049187,154,156 | 158,160,False,True,已确认,160
向下,底分型,163,2026-01-09 16:50:00+00:00,88.63759524006669,159,161 | 163,165,True,True,已确认,165
向上,顶分型,166,2026-01-09 18:50:00+00:00,110.93013363789335,164,166 | 168,170,False,True,已确认,170
向下,底分型,171,2026-01-10 01:10:00+00:00,89.81629781092089,169,171,173,False,True,已确认,173
向上,顶分型,174,2026-01-10 03:20:00+00:00,110.64496669308403,172,174,176,False,True,已确认,176
向下,底分型,183,2026-01-10 13:00:00+00:00,89.96549396857695,177 | 179 | 181,183,185,False,True,已确认,185
向上,顶分型,192,2026-01-10 23:25:00+00:00,111.34127538063434,190,192,194,False,True,已确认,194
向下,底分型,195,2026-01-11 01:35:00+00:00,89.37563517638253,193,195,197,True,True,已确认,197
向上,顶分型,198,2026-01-11 03:35:00+00:00,111.55808245222487,196,198,200,True,True,已确认,200
向下,底分型,201,2026-01-11 05:50:00+00:00,88.22927230323205,199,201,203,True,True,已确认,203
