序号,一致,本项目方向,参考方向,本项目起点,参考起点,本项目终点,参考终点,本项目笔数,参考笔数
0,True,向上,向上,2026-01-01 02:45:00+00:00,2026-01-01 02:45:00+00:00,2026-01-01 04:45:00+00:00,2026-01-01 04:45:00+00:00,3,3
1,True,向下,向下,2026-01-01 04:45:00+00:00,2026-01-01 04:45:00+00:00,2026-01-01 11:15:00+00:00,2026-01-01 11:15:00+00:00,7,7
2,True,向上,向上,2026-01-01 11:15:00+00:00,2026-01-01 11:15:00+00:00,2026-01-01 17:30:00+00:00,2026-01-01 17:30:00+00:00,7,7
3,True,向下,向下,2026-01-01 17:30:00+00:00,2026-01-01 17:30:00+00:00,2026-01-01 23:55:00+00:00,2026-01-01 23:55:00+00:00,7,7
4,True,向上,向上,2026-01-01 23:55:00+00:00,2026-01-01 23:55:00+00:00,2026-01-02 18:55:00+00:00,2026-01-02 18:55:00+00:00,9,9
5,True,向下,向下,2026-01-02 18:55:00+00:00,2026-01-02 18:55:00+00:00,2026-01-03 05:20:00+00:00,2026-01-03 05:20:00+00:00,5,5
6,True,向上,向上,2026-01-03 05:20:00+00:00,2026-01-03 05:20:00+00:00,2026-01-04 00:25:00+00:00,2026-01-04 00:25:00+00:00,13,13
7,True,向下,向下,2026-01-04 00:25:00+00:00,2026-01-04 00:25:00+00:00,2026-01-04 06:50:00+00:00,2026-01-04 06:50:00+00:00,5,5
8,True,向上,向上,2026-01-04 06:50:00+00:00,2026-01-04 06:50:00+00:00,2026-01-04 13:10:00+00:00,2026-01-04 13:10:00+00:00,5,5
9,True,向下,向下,2026-01-04 13:10:00+00:00,2026-01-04 13:10:00+00:00,2026-01-04 23:40:00+00:00,2026-01-04 23:40:00+00:00,7,7
10,True,向上,向上,2026-01-04 23:40:00+00:00,2026-01-04 23:40:00+00:00,2026-01-05 01:45:00+00:00,2026-01-05 01:45:00+00:00,3,3
11,True,向下,向下,2026-01-05 01:45:00+00:00,2026-01-05 01:45:00+00:00,2026-01-05 04:05:00+00:00,2026-01-05 04:05:00+00:00,3,3
12,True,向上,向上,2026-01-05 04:05:00+00:00,2026-01-05 04:05:00+00:00,2026-01-05 10:15:00+00:00,2026-01-05 10:15:00+00:00,5,5
13,True,向下,向下,2026-01-05 10:15:00+00:00,2026-01-05 10:15:00+00:00,2026-01-05 16:25:00+00:00,2026-01-05 16:25:00+00:00,5,5
14,True,向上,向上,2026-01-05 16:25:00+00:00,2026-01-05 16:25:00+00:00,2026-01-05 18:50:00+00:00,2026-01-05 18:50:00+00:00,3,3
15,True,向下,向下,2026-01-05 18:50:00+00:00,2026-01-05 18:50:00+00:00,2026-01-06 00:05:00+00:00,2026-01-06 00:05:00+00:00,7,7
16,True,向上,向上,2026-01-06 00:05:00+00:00,2026-01-06 00:05:00+00:00,2026-01-06 10:30:00+00:00,2026-01-06 10:30:00+00:00,9,9
17,True,向下,向下,2026-01-06 10:30:00+00:00,2026-01-06 10:30:00+00:00,2026-01-07 01:20:00+00:00,2026-01-07 01:20:00+00:00,11,11
18,True,向上,向上,2026-01-07 01:20:00+00:00,2026-01-07 01:20:00+00:00,2026-01-07 20:25:00+00:00,2026-01-07 20:25:00+00:00,13,13
19,True,向下,向下,2026-01-07 20:25:00+00:00,2026-01-07 20:25:00+00:00,2026-01-08 02:45:00+00:00,2026-01-08 02:45:00+00:00,7,7
20,True,向上,向上,2026-01-08 02:45:00+00:00,2026-01-08 02:45:00+00:00,2026-01-08 04:50:00+00:00,2026-01-08 04:50:00+00:00,3,3
21,True,向下,向下,2026-01-08 04:50:00+00:00,2026-01-08 04:50:00+00:00,2026-01-08 19:45:00+00:00,2026-01-08 19:45:00+00:00,7,7
22,True,向上,向上,2026-01-08 19:45:00+00:00,2026-01-08 19:45:00+00:00,2026-01-09 02:00:00+00:00,2026-01-09 02:00:00+00:00,5,5
23,True,向下,向下,2026-01-09 02:00:00+00:00,2026-01-09 02:00:00+00:00,2026-01-09 08:15:00+00:00,2026-01-09 08:15:00+00:00,3,3
24,True,向上,向上,2026-01-09 08:15:00+00:00,2026-01-09 08:15:00+00:00,2026-01-09 10:25:00+00:00,2026-01-09 10:25:00+00:00,3,3
25,True,向下,向下,2026-01-09 10:25:00+00:00,2026-01-09 10:25:00+00:00,2026-01-09 16:50:00+00:00,2026-01-09 16:50:00+00:00,7,7
26,True,向上,向上,2026-01-09 16:50:00+00:00,2026-01-09 16:50:00+00:00,2026-01-09 18:50:00+00:00,2026-01-09 18:50:00+00:00,3,3
27,True,向下,向下,2026-01-09 18:50:00+00:00,2026-01-09 18:50:00+00:00,2026-01-10 01:10:00+00:00,2026-01-10 01:10:00+00:00,5,5
28,True,向上,向上,2026-01-10 01:10:00+00:00,2026-01-10 01:10:00+00:00,2026-01-10 03:20:00+00:00,2026-01-10 03:20:00+00:00,3,3
29,True,向下,向下,2026-01-10 03:20:00+00:00,2026-01-10 03:20:00+00:00,2026-01-10 13:00:00+00:00,2026-01-10 13:00:00+00:00,9,9
30,True,向上,向上,2026-01-10 13:00:00+00:00,2026-01-10 13:00:00+00:00,2026-01-10 23:25:00+00:00,2026-01-10 23:25:00+00:00,9,9
31,True,向下,向下,2026-01-10 23:25:00+00:00,2026-01-10 23:25:00+00:00,2026-01-11 01:35:00+00:00,2026-01-11 01:35:00+00:00,3,3
32,True,向上,向上,2026-01-11 01:35:00+00:00,2026-01-11 01:35:00+00:00,2026-01-11 03:35:00+00:00,2026-01-11 03:35:00+00:00,3,3
33,True,向下,向下,2026-01-11 03:35:00+00:00,2026-01-11 03:35:00+00:00,2026-01-11 05:50:00+00:00,2026-01-11 05:50:00+00:00,3,3
34,True,向上,向上,2026-01-11 05:50:00+00:00,2026-01-11 05:50:00+00:00,2026-01-11 16:25:00+00:00,2026-01-11 16:25:00+00:00,9,9
35,True,向下,向下,2026-01-11 16:25:00+00:00,2026-01-11 16:25:00+00:00,2026-01-12 02:50:00+00:00,2026-01-12 02:50:00+00:00,11,11
36,True,向上,向上,2026-01-12 02:50:00+00:00,2026-01-12 02:50:00+00:00,2026-01-12 09:15:00+00:00,2026-01-12 09:15:00+00:00,3,3
37,True,向下,向下,2026-01-12 09:15:00+00:00,2026-01-12 09:15:00+00:00,2026-01-12 19:45:00+00:00,2026-01-12 19:45:00+00:00,5,5
38,True,向上,向上,2026-01-12 19:45:00+00:00,2026-01-12 19:45:00+00:00,2026-01-13 06:25:00+00:00,2026-01-13 06:25:00+00:00,7,7
39,True,向下,向下,2026-01-13 06:25:00+00:00,2026-01-13 06:25:00+00:00,2026-01-13 16:50:00+00:00,2026-01-13 16:50:00+00:00,7,7
40,True,向上,向上,2026-01-13 16:50:00+00:00,2026-01-13 16:50:00+00:00,2026-01-13 19:00:00+00:00,2026-01-13 19:00:00+00:00,3,3
41,True,向下,向下,2026-01-13 19:00:00+00:00,2026-01-13 19:00:00+00:00,2026-01-14 09:50:00+00:00,2026-01-14 09:50:00+00:00,9,9
42,True,向上,向上,2026-01-14 09:50:00+00:00,2026-01-14 09:50:00+00:00,2026-01-14 12:00:00+00:00,2026-01-14 12:00:00+00:00,3,3
43,True,向下,向下,2026-01-14 12:00:00+00:00,2026-01-14 12:00:00+00:00,2026-01-14 14:10:00+00:00,2026-01-14 14:10:00+00:00,3,3
44,True,向上,向上,2026-01-14 14:10:00+00:00,2026-01-14 14:10:00+00:00,2026-01-14 16:10:00+00:00,2026-01-14 16:10:00+00:00,3,3
45,True,向下,向下,2026-01-14 16:10:00+00:00,2026-01-14 16:10:00+00:00,2026-01-14 22:25:00+00:00,2026-01-14 22:25:00+00:00,5,5
46,True,向上,向上,2026-01-14 22:25:00+00:00,2026-01-14 22:25:00+00:00,2026-01-15 00:50:00+00:00,2026-01-15 00:50:00+00:00,3,3
47,True,向下,向下,2026-01-15 00:50:00+00:00,2026-01-15 00:50:00+00:00,2026-01-15 05:55:00+00:00,2026-01-15 05:55:00+00:00,5,5
48,True,向上,向上,2026-01-15 05:55:00+00:00,2026-01-15 05:55:00+00:00,2026-01-15 12:20:00+00:00,2026-01-15 12:20:00+00:00,7,7
49,True,向下,向下,2026-01-15 12:20:00+00:00,2026-01-15 12:20:00+00:00,2026-01-15 14:20:00+00:00,2026-01-15 14:20:00+00:00,3,3
50,True,向上,向上,2026-01-15 14:20:00+00:00,2026-01-15 14:20:00+00:00,2026-01-15 16:25:00+00:00,2026-01-15 16:25:00+00:00,3,3
51,True,向下,向下,2026-01-15 16:25:00+00:00,2026-01-15 16:25:00+00:00,2026-01-15 22:50:00+00:00,2026-01-15 22:50:00+00:00,7,7
52,True,向上,向上,2026-01-15 22:50:00+00:00,2026-01-15 22:50:00+00:00,2026-01-16 05:15:00+00:00,2026-01-16 05:15:00+00:00,7,7
53,True,向下,向下,2026-01-16 05:15:00+00:00,2026-01-16 05:15:00+00:00,2026-01-16 11:35:00+00:00,2026-01-16 11:35:00+00:00,7,7
54,True,向上,向上,2026-01-16 11:35:00+00:00,2026-01-16 11:35:00+00:00,2026-01-16 22:10:00+00:00,2026-01-16 22:10:00+00:00,7,7
55,True,向下,向下,2026-01-16 22:10:00+00:00,2026-01-16 22:10:00+00:00,2026-01-17 13:05:00+00:00,2026-01-17 13:05:00+00:00,9,9
56,True,向上,向上,2026-01-17 13:05:00+00:00,2026-01-17 13:05:00+00:00,2026-01-17 19:20:00+00:00,2026-01-17 19:20:00+00:00,5,5
57,True,向下,向下,2026-01-17 19:20:00+00:00,2026-01-17 19:20:00+00:00,2026-01-18 01:35:00+00:00,2026-01-18 01:35:00+00:00,3,3
