线段序号,起始笔位置,终点边界位置,确认方式,确认发生笔位置,主分型方向,主分型类型,主分型时间,主分型价格,主分型有缺口,初始缺口端点位置,初始缺口端点时间,初始缺口端点价格,最终线段端点位置,最终线段端点时间,最终线段端点价格,端点发生迁移,主分型真实突破,主分型突破状态,主分型三元素,反向分型时间,反向分型类型,反向分型三元素
0,1,4,GAP_REVERSE_FRACTAL,9,向上,顶分型,2026-01-01 04:45:00+00:00,110.1655985483843,True,4.0,2026-01-01 04:45:00+00:00,110.1655985483843,4,2026-01-01 04:45:00+00:00,110.1655985483843,False,True,已确认,2 / 4 / 6,2026-01-01 06:55:00+00:00,底分型,5 / 7 / 9
1,4,11,NO_GAP,13,向下,底分型,2026-01-01 11:15:00+00:00,89.32242699416904,False,7.0,2026-01-01 06:55:00+00:00,90.02383139102206,11,2026-01-01 11:15:00+00:00,89.32242699416904,True,True,已确认,9 / 11 / 13,,,
2,11,18,NO_GAP,20,向上,顶分型,2026-01-01 17:30:00+00:00,111.4056493520864,False,,,,18,2026-01-01 17:30:00+00:00,111.4056493520864,False,True,已确认,"14,16 / 18 / 20",,,
3,18,25,NO_GAP,27,向下,底分型,2026-01-01 23:55:00+00:00,87.98510805198188,False,21.0,2026-01-01 19:35:00+00:00,88.6365448331546,25,2026-01-01 23:55:00+00:00,87.98510805198188,True,True,已确认,23 / 25 / 27,,,
4,25,34,NO_GAP,36,向上,顶分型,2026-01-02 18:55:00+00:00,112.90982303790344,False,,,,34,2026-01-02 18:55:00+00:00,112.90982303790344,False,True,已确认,"30,32 / 34 / 36",,,
5,34,39,NO_GAP,45,向下,底分型,2026-01-03 05:20:00+00:00,86.81520442518793,False,,,,39,2026-01-03 05:20:00+00:00,86.81520442518793,False,True,已确认,"37 / 39,41,43 / 45",,,
6,39,52,NO_GAP,56,向上,顶分型,2026-01-04 00:25:00+00:00,113.03191069092168,False,,,,52,2026-01-04 00:25:00+00:00,113.03191069092168,False,True,已确认,"42,44 / 46,48,50,52,54 / 56",,,
7,52,57,NO_GAP,61,向下,底分型,2026-01-04 06:50:00+00:00,87.46658570820792,False,,,,57,2026-01-04 06:50:00+00:00,87.46658570820792,False,True,已确认,"55 / 57,59 / 61",,,
8,57,62,NO_GAP,68,向上,顶分型,2026-01-04 13:10:00+00:00,112.1559268230961,False,,,,62,2026-01-04 13:10:00+00:00,112.1559268230961,False,True,已确认,"60 / 62,64,66 / 68",,,
9,62,69,NO_GAP,71,向下,底分型,2026-01-04 23:40:00+00:00,88.60401387372335,False,,,,69,2026-01-04 23:40:00+00:00,88.60401387372335,False,True,已确认,67 / 69 / 71,,,
10,69,72,NO_GAP,74,向上,顶分型,2026-01-05 01:45:00+00:00,111.78572434625978,False,,,,72,2026-01-05 01:45:00+00:00,111.78572434625978,False,True,已确认,70 / 72 / 74,,,
11,72,75,NO_GAP,79,向下,底分型,2026-01-05 04:05:00+00:00,89.45099765756609,False,,,,75,2026-01-05 04:05:00+00:00,89.45099765756609,False,True,已确认,"73 / 75,77 / 79",,,
12,75,80,NO_GAP,84,向上,顶分型,2026-01-05 10:15:00+00:00,110.75438145810709,False,,,,80,2026-01-05 10:15:00+00:00,110.75438145810709,False,True,已确认,"76,78 / 80,82 / 84",,,
13,80,85,NO_GAP,87,向下,底分型,2026-01-05 16:25:00+00:00,90.39620611770233,False,,,,85,2026-01-05 16:25:00+00:00,90.39620611770233,False,True,已确认,83 / 85 / 87,,,
14,85,88,NO_GAP,90,向上,顶分型,2026-01-05 18:50:00+00:00,109.58597942759285,False,,,,88,2026-01-05 18:50:00+00:00,109.58597942759285,False,True,已确认,86 / 88 / 90,,,
15,88,95,NO_GAP,97,向下,底分型,2026-01-06 00:05:00+00:00,89.8845761521106,False,,,,95,2026-01-06 00:05:00+00:00,89.8845761521106,False,True,已确认,"91,93 / 95 / 97",,,
16,95,104,NO_GAP,106,向上,顶分型,2026-01-06 10:30:00+00:00,111.40991252945928,False,,,,104,2026-01-06 10:30:00+00:00,111.40991252945928,False,True,已确认,102 / 104 / 106,,,
17,104,115,NO_GAP,119,向下,底分型,2026-01-07 01:20:00+00:00,87.59925675269392,False,107.0,2026-01-06 12:45:00+00:00,88.46300700071127,115,2026-01-07 01:20:00+00:00,87.59925675269392,True,True,已确认,"113 / 115,117 / 119",,,
18,115,128,NO_GAP,130,向上,顶分型,2026-01-07 20:25:00+00:00,112.85866737381562,False,120.0,2026-01-07 07:35:00+00:00,112.08794609929859,128,2026-01-07 20:25:00+00:00,112.85866737381562,True,True,已确认,126 / 128 / 130,,,
19,128,135,NO_GAP,137,向下,底分型,2026-01-08 02:45:00+00:00,87.1809765505783,False,,,,135,2026-01-08 02:45:00+00:00,87.1809765505783,False,True,已确认,"131,133 / 135 / 137",,,
20,135,138,NO_GAP,142,向上,顶分型,2026-01-08 04:50:00+00:00,113.57894951849332,False,,,,138,2026-01-08 04:50:00+00:00,113.57894951849332,False,True,已确认,"136 / 138,140 / 142",,,
21,138,145,NO_GAP,149,向下,底分型,2026-01-08 19:45:00+00:00,87.27018566434882,False,,,,145,2026-01-08 19:45:00+00:00,87.27018566434882,False,True,已确认,"141 / 143,145,147 / 149",,,
22,145,150,NO_GAP,152,向上,顶分型,2026-01-09 02:00:00+00:00,112.67400167821718,False,,,,150,2026-01-09 02:00:00+00:00,112.67400167821718,False,True,已确认,148 / 150 / 152,,,
23,150,153,NO_GAP,155,向下,底分型,2026-01-09 08:15:00+00:00,87.6928949866896,False,,,,153,2026-01-09 08:15:00+00:00,87.6928949866896,False,True,已确认,151 / 153 / 155,,,
24,153,156,NO_GAP,160,向上,顶分型,2026-01-09 10:25:00+00:00,112.1945857049187,False,,,,156,2026-01-09 10:25:00+00:00,112.1945857049187,False,True,已确认,"154 / 156,158 / 160",,,
25,156,163,GAP_REVERSE_FRACTAL,170,向下,底分型,2026-01-09 16:50:00+00:00,88.63759524006669,True,163.0,2026-01-09 16:50:00+00:00,88.63759524006669,163,2026-01-09 16:50:00+00:00,88.63759524006669,False,True,已确认,"159 / 161,163 / 165",2026-01-09 18:50:00+00:00,顶分型,"164 / 166,168 / 170"
