open_time,close_time,symbol,interval,open,high,low,close,volume,quote_volume,trade_count
2026-07-16 22:00:00+00:00,2026-07-16 22:59:59.999000+00:00,BTCUSDT,1h,6.0,8.0,6.0,8.0,1,8.0,1
2026-07-16 23:00:00+00:00,2026-07-16 23:59:59.999000+00:00,BTCUSDT,1h,7.0,9.0,7.0,9.0,1,9.0,1
2026-07-17 00:00:00+00:00,2026-07-17 00:59:59.999000+00:00,BTCUSDT,1h,8.0,10.0,8.0,10.0,1,10.0,1
2026-07-17 01:00:00+00:00,2026-07-17 01:59:59.999000+00:00,BTCUSDT,1h,10.0,12.0,10.0,12.0,1,12.0,1
2026-07-17 02:00:00+00:00,2026-07-17 02:59:59.999000+00:00,BTCUSDT,1h,9.0,11.0,9.0,11.0,1,11.0,1
2026-07-17 03:00:00+00:00,2026-07-17 03:59:59.999000+00:00,BTCUSDT,1h,8.0,10.0,8.0,10.0,1,10.0,1
2026-07-17 04:00:00+00:00,2026-07-17 04:59:59.999000+00:00,BTCUSDT,1h,7.0,9.0,7.0,9.0,1,9.0,1
2026-07-17 05:00:00+00:00,2026-07-17 05:59:59.999000+00:00,BTCUSDT,1h,6.0,8.0,6.0,8.0,1,8.0,1
2026-07-17 06:00:00+00:00,2026-07-17 06:59:59.999000+00:00,BTCUSDT,1h,5.0,7.0,5.0,7.0,1,7.0,1
2026-07-17 07:00:00+00:00,2026-07-17 07:59:59.999000+00:00,BTCUSDT,1h,4.5,6.5,4.5,6.5,1,6.5,1
2026-07-17 08:00:00+00:00,2026-07-17 08:59:59.999000+00:00,BTCUSDT,1h,4.0,6.0,4.0,6.0,1,6.0,1
2026-07-17 09:00:00+00:00,2026-07-17 09:59:59.999000+00:00,BTCUSDT,1h,6.0,8.0,6.0,8.0,1,8.0,1
2026-07-17 10:00:00+00:00,2026-07-17 10:59:59.999000+00:00,BTCUSDT,1h,9.0,11.0,9.0,11.0,1,11.0,1
2026-07-17 11:00:00+00:00,2026-07-17 11:59:59.999000+00:00,BTCUSDT,1h,12.0,14.0,12.0,14.0,1,14.0,1
2026-07-17 12:00:00+00:00,2026-07-17 12:59:59.999000+00:00,BTCUSDT,1h,9.0,11.0,9.0,11.0,1,11.0,1
2026-07-17 13:00:00+00:00,2026-07-17 13:59:59.999000+00:00,BTCUSDT,1h,3.0,5.0,3.0,5.0,1,5.0,1
2026-07-17 14:00:00+00:00,2026-07-17 14:59:59.999000+00:00,BTCUSDT,1h,7.0,9.0,7.0,9.0,1,9.0,1
2026-07-17 15:00:00+00:00,2026-07-17 15:59:59.999000+00:00,BTCUSDT,1h,9.0,11.0,9.0,11.0,1,11.0,1
2026-07-17 16:00:00+00:00,2026-07-17 16:59:59.999000+00:00,BTCUSDT,1h,11.0,13.0,11.0,13.0,1,13.0,1
2026-07-17 17:00:00+00:00,2026-07-17 17:59:59.999000+00:00,BTCUSDT,1h,13.0,15.0,13.0,15.0,1,15.0,1
2026-07-17 18:00:00+00:00,2026-07-17 18:59:59.999000+00:00,BTCUSDT,1h,14.0,16.0,14.0,16.0,1,16.0,1
2026-07-17 19:00:00+00:00,2026-07-17 19:59:59.999000+00:00,BTCUSDT,1h,12.0,14.0,12.0,14.0,1,14.0,1
