案例,类型,状态,时间,线段,结论,检查
下跌趋势：一买 + 二买,S3,confirmed,2026-01-06 00:00:00+00:00,5,离开中枢后的第一个反向走势不重新进入中枢,离开方向=通过 | 首次反向回试=通过 | 不返回中枢=通过
下跌趋势：一买 + 二买,B1,confirmed,2026-01-08 12:00:00+00:00,8,两个严格同向中枢构成趋势，离开段创新极值且 MACD 柱面积背驰,严格同向中枢=通过 | 进入离开同向=通过 | 离开段创新极值=通过 | MACD柱面积背驰=通过 | 进入MACD面积=40.8206832333 | 离开MACD面积=4.863518504
下跌趋势：一买 + 二买,S3,rejected,2026-01-09 08:00:00+00:00,9,首次回试重新进入中枢，或回试方向不正确,离开方向=通过 | 首次反向回试=通过 | 不返回中枢=失败
下跌趋势：一买 + 二买,B2,confirmed,2026-01-10 04:00:00+00:00,10,首次回试不破一类点，且回试终点由笔级别一类点确认,方向序列=通过 | 不破一类点极值=通过 | 次级别一类点=通过 | 次级别候选数=1
上涨趋势：一卖 + 二卖,B3,confirmed,2026-03-06 00:00:00+00:00,5,离开中枢后的第一个反向走势不重新进入中枢,离开方向=通过 | 首次反向回试=通过 | 不返回中枢=通过
上涨趋势：一卖 + 二卖,S1,confirmed,2026-03-08 12:00:00+00:00,8,两个严格同向中枢构成趋势，离开段创新极值且 MACD 柱面积背驰,严格同向中枢=通过 | 进入离开同向=通过 | 离开段创新极值=通过 | MACD柱面积背驰=通过 | 进入MACD面积=40.8206832333 | 离开MACD面积=4.863518504
上涨趋势：一卖 + 二卖,B3,rejected,2026-03-09 08:00:00+00:00,9,首次回试重新进入中枢，或回试方向不正确,离开方向=通过 | 首次反向回试=通过 | 不返回中枢=失败
上涨趋势：一卖 + 二卖,S2,confirmed,2026-03-10 04:00:00+00:00,10,首次回试不破一类点，且回试终点由笔级别一类点确认,方向序列=通过 | 不破一类点极值=通过 | 次级别一类点=通过 | 次级别候选数=1
中枢向上破坏：三买,B3,confirmed,2026-05-06 00:00:00+00:00,5,离开中枢后的第一个反向走势不重新进入中枢,离开方向=通过 | 首次反向回试=通过 | 不返回中枢=通过
中枢向下破坏：三卖,S3,confirmed,2026-06-06 00:00:00+00:00,5,离开中枢后的第一个反向走势不重新进入中枢,离开方向=通过 | 首次反向回试=通过 | 不返回中枢=通过
