案例,线段,方向,起点,起价,终点,终价,价格力度,内部笔数
下跌趋势：一买 + 二买,0,down,2026-01-01 00:00:00+00:00,140,2026-01-01 20:00:00+00:00,120,20,1
下跌趋势：一买 + 二买,1,up,2026-01-01 20:00:00+00:00,120,2026-01-02 16:00:00+00:00,135,15,1
下跌趋势：一买 + 二买,2,down,2026-01-02 16:00:00+00:00,135,2026-01-03 12:00:00+00:00,125,10,1
下跌趋势：一买 + 二买,3,up,2026-01-03 12:00:00+00:00,125,2026-01-04 08:00:00+00:00,132,7,1
下跌趋势：一买 + 二买,4,down,2026-01-04 08:00:00+00:00,132,2026-01-05 04:00:00+00:00,100,32,1
下跌趋势：一买 + 二买,5,up,2026-01-05 04:00:00+00:00,100,2026-01-06 00:00:00+00:00,112,12,1
下跌趋势：一买 + 二买,6,down,2026-01-06 00:00:00+00:00,112,2026-01-06 20:00:00+00:00,102,10,1
下跌趋势：一买 + 二买,7,up,2026-01-06 20:00:00+00:00,102,2026-01-07 16:00:00+00:00,110,8,1
下跌趋势：一买 + 二买,8,down,2026-01-07 16:00:00+00:00,110,2026-01-08 12:00:00+00:00,90,20,1
下跌趋势：一买 + 二买,9,up,2026-01-08 12:00:00+00:00,90,2026-01-09 08:00:00+00:00,108,18,1
下跌趋势：一买 + 二买,10,down,2026-01-09 08:00:00+00:00,108,2026-01-10 04:00:00+00:00,80,28,9
下跌趋势：一买 + 二买,11,up,2026-01-10 04:00:00+00:00,80,2026-01-11 00:00:00+00:00,95,15,1
下跌趋势：一买 + 二买,12,down,2026-01-11 00:00:00+00:00,95,2026-01-11 20:00:00+00:00,85,10,11
上涨趋势：一卖 + 二卖,0,up,2026-03-01 00:00:00+00:00,60,2026-03-01 20:00:00+00:00,80,20,1
上涨趋势：一卖 + 二卖,1,down,2026-03-01 20:00:00+00:00,80,2026-03-02 16:00:00+00:00,65,15,1
上涨趋势：一卖 + 二卖,2,up,2026-03-02 16:00:00+00:00,65,2026-03-03 12:00:00+00:00,75,10,1
上涨趋势：一卖 + 二卖,3,down,2026-03-03 12:00:00+00:00,75,2026-03-04 08:00:00+00:00,68,7,1
上涨趋势：一卖 + 二卖,4,up,2026-03-04 08:00:00+00:00,68,2026-03-05 04:00:00+00:00,100,32,1
上涨趋势：一卖 + 二卖,5,down,2026-03-05 04:00:00+00:00,100,2026-03-06 00:00:00+00:00,88,12,1
上涨趋势：一卖 + 二卖,6,up,2026-03-06 00:00:00+00:00,88,2026-03-06 20:00:00+00:00,98,10,1
上涨趋势：一卖 + 二卖,7,down,2026-03-06 20:00:00+00:00,98,2026-03-07 16:00:00+00:00,90,8,1
上涨趋势：一卖 + 二卖,8,up,2026-03-07 16:00:00+00:00,90,2026-03-08 12:00:00+00:00,110,20,1
上涨趋势：一卖 + 二卖,9,down,2026-03-08 12:00:00+00:00,110,2026-03-09 08:00:00+00:00,92,18,1
上涨趋势：一卖 + 二卖,10,up,2026-03-09 08:00:00+00:00,92,2026-03-10 04:00:00+00:00,120,28,9
上涨趋势：一卖 + 二卖,11,down,2026-03-10 04:00:00+00:00,120,2026-03-11 00:00:00+00:00,105,15,1
上涨趋势：一卖 + 二卖,12,up,2026-03-11 00:00:00+00:00,105,2026-03-11 20:00:00+00:00,115,10,11
中枢向上破坏：三买,0,up,2026-05-01 00:00:00+00:00,100,2026-05-01 20:00:00+00:00,120,20,1
中枢向上破坏：三买,1,down,2026-05-01 20:00:00+00:00,120,2026-05-02 16:00:00+00:00,105,15,1
中枢向上破坏：三买,2,up,2026-05-02 16:00:00+00:00,105,2026-05-03 12:00:00+00:00,118,13,1
中枢向上破坏：三买,3,down,2026-05-03 12:00:00+00:00,118,2026-05-04 08:00:00+00:00,108,10,1
中枢向上破坏：三买,4,up,2026-05-04 08:00:00+00:00,108,2026-05-05 04:00:00+00:00,130,22,1
中枢向上破坏：三买,5,down,2026-05-05 04:00:00+00:00,130,2026-05-06 00:00:00+00:00,118,12,1
中枢向下破坏：三卖,0,down,2026-06-01 00:00:00+00:00,130,2026-06-01 20:00:00+00:00,110,20,1
中枢向下破坏：三卖,1,up,2026-06-01 20:00:00+00:00,110,2026-06-02 16:00:00+00:00,125,15,1
中枢向下破坏：三卖,2,down,2026-06-02 16:00:00+00:00,125,2026-06-03 12:00:00+00:00,112,13,1
中枢向下破坏：三卖,3,up,2026-06-03 12:00:00+00:00,112,2026-06-04 08:00:00+00:00,122,10,1
中枢向下破坏：三卖,4,down,2026-06-04 08:00:00+00:00,122,2026-06-05 04:00:00+00:00,100,22,1
中枢向下破坏：三卖,5,up,2026-06-05 04:00:00+00:00,100,2026-06-06 00:00:00+00:00,112,12,1
